episode_id,parent,offset,repeat,option,suffix_horizon,accident,calls,completion_cost,controller_steps,reason,steps,success,success_step
e21_d03,e21,3,0,0,440,0,440,440,0,timeout,440,0,
e21_d03,e21,3,0,1,220,0,1,220,220,timeout,220,0,
e21_d03,e21,3,0,1,440,0,1,434,434,success,434,1,434
e21_d03,e21,3,1,1,220,0,1,220,220,timeout,220,0,
e21_d03,e21,3,1,1,440,0,1,434,434,success,434,1,434
e21_d03,e21,3,1,0,220,0,220,220,0,timeout,220,0,
e21_d03,e21,3,1,0,440,0,440,440,0,timeout,440,0,
e21_d10,e21,10,0,1,220,0,1,220,220,timeout,220,0,
e21_d10,e21,10,0,1,440,0,1,428,428,success,428,1,428
e21_d10,e21,10,0,0,220,0,220,220,0,timeout,220,0,
e21_d10,e21,10,0,0,440,1,317,440,0,accident,317,0,
e21_d10,e21,10,1,0,220,0,220,220,0,timeout,220,0,
e21_d10,e21,10,1,0,440,0,440,440,0,timeout,440,0,
e21_d10,e21,10,1,1,220,0,1,220,220,timeout,220,0,
e21_d10,e21,10,1,1,440,0,1,428,428,success,428,1,428
e27_d00,e27,0,0,0,220,1,34,220,0,accident,34,0,
e27_d00,e27,0,0,0,440,1,34,440,0,accident,34,0,
e27_d00,e27,0,0,1,220,0,1,220,220,timeout,220,0,
e27_d00,e27,0,0,1,440,0,1,440,440,timeout,440,0,
e27_d00,e27,0,1,1,220,0,1,220,220,timeout,220,0,
e27_d00,e27,0,1,1,440,0,1,440,440,timeout,440,0,
e27_d00,e27,0,1,0,220,1,39,220,0,accident,39,0,
e27_d00,e27,0,1,0,440,1,39,440,0,accident,39,0,
e27_d03,e27,3,0,1,220,1,1,220,82,accident,82,0,
e27_d03,e27,3,0,1,440,1,1,440,82,accident,82,0,
e27_d03,e27,3,0,0,220,1,24,220,0,accident,24,0,
e27_d03,e27,3,0,0,440,1,24,440,0,accident,24,0,
e27_d03,e27,3,1,0,220,1,30,220,0,accident,30,0,
e27_d03,e27,3,1,0,440,1,30,440,0,accident,30,0,
e27_d03,e27,3,1,1,220,1,1,220,82,accident,82,0,
e27_d03,e27,3,1,1,440,1,1,440,82,accident,82,0,
e27_d10,e27,10,0,0,220,1,17,220,0,accident,17,0,
e27_d10,e27,10,0,0,440,1,17,440,0,accident,17,0,
e27_d10,e27,10,0,1,220,1,1,220,68,accident,68,0,
e27_d10,e27,10,0,1,440,1,1,440,68,accident,68,0,
e27_d10,e27,10,1,1,220,1,1,220,68,accident,68,0,
e27_d10,e27,10,1,1,440,1,1,440,68,accident,68,0,
e27_d10,e27,10,1,0,220,1,20,220,0,accident,20,0,
e27_d10,e27,10,1,0,440,1,20,440,0,accident,20,0,
e06_d00,e06,0,0,1,220,0,1,220,220,timeout,220,0,
e06_d00,e06,0,0,1,440,0,1,440,440,timeout,440,0,
e06_d00,e06,0,0,0,220,1,39,220,0,accident,39,0,
e06_d00,e06,0,0,0,440,1,39,440,0,accident,39,0,
e06_d00,e06,0,1,0,220,1,39,220,0,accident,39,0,
e06_d00,e06,0,1,0,440,1,39,440,0,accident,39,0,
e06_d00,e06,0,1,1,220,0,1,220,220,timeout,220,0,
e06_d00,e06,0,1,1,440,0,1,440,440,timeout,440,0,
e06_d03,e06,3,0,0,220,1,34,220,0,accident,34,0,
e06_d03,e06,3,0,0,440,1,34,440,0,accident,34,0,
e06_d03,e06,3,0,1,220,0,1,220,220,timeout,220,0,
e06_d03,e06,3,0,1,440,0,1,440,440,timeout,440,0,
e06_d03,e06,3,1,1,220,0,1,220,220,timeout,220,0,
e06_d03,e06,3,1,1,440,0,1,440,440,timeout,440,0,
e06_d03,e06,3,1,0,220,1,33,220,0,accident,33,0,
e06_d03,e06,3,1,0,440,1,33,440,0,accident,33,0,
e06_d10,e06,10,0,1,220,0,1,220,220,timeout,220,0,
e06_d10,e06,10,0,1,440,0,1,440,440,timeout,440,0,
e06_d10,e06,10,0,0,220,1,27,220,0,accident,27,0,
e06_d10,e06,10,0,0,440,1,27,440,0,accident,27,0,
e06_d10,e06,10,1,0,220,1,28,220,0,accident,28,0,
e06_d10,e06,10,1,0,440,1,28,440,0,accident,28,0,
e06_d10,e06,10,1,1,220,0,1,220,220,timeout,220,0,
e06_d10,e06,10,1,1,440,0,1,440,440,timeout,440,0,
