parent,offset,repeat,stage,duration,start,end,cap_exit,min_error,kind
e06,3,1,1,11,14,24,False,0.019467505028263454,move
e06,3,1,2,32,25,56,False,0.019014770196293006,move
e06,3,1,3,5,57,61,False,0.018947910344682014,move
e06,3,1,4,140,62,201,True,0.06085548606245887,move
e06,3,1,5,140,202,341,True,0.06615199262052324,move
e06,3,1,6,102,342,443,False,0.13129569886958872,move
e06,10,0,0,11,11,21,False,0.019821838927860887,move
e06,10,0,1,11,22,32,False,0.019193814244614145,move
e06,10,0,2,29,33,61,False,0.018832170210817616,move
e06,10,0,3,1,62,62,False,0.015170449183564812,move
e06,10,0,4,140,63,202,True,0.06348192800097104,move
e06,10,0,5,140,203,342,True,0.06874864053322244,move
e06,10,0,6,108,343,450,False,0.11721116545794337,move
e06,10,1,0,11,11,21,False,0.019821838927860887,move
e06,10,1,1,11,22,32,False,0.019193814244614145,move
e06,10,1,2,29,33,61,False,0.018832170210817616,move
e06,10,1,3,1,62,62,False,0.015170449183564812,move
e06,10,1,4,140,63,202,True,0.06348192800097104,move
e06,10,1,5,140,203,342,True,0.06874864053322244,move
e06,10,1,6,108,343,450,False,0.11721116545794337,move
