episode,source,role,condition,horizon,triggered,A_delta_success,B_delta_success,A_0_terminal_disagreement,A_0_success_steps,A_1_terminal_disagreement,A_1_success_steps,B_0_terminal_disagreement,B_0_success_steps,B_1_terminal_disagreement,B_1_success_steps
e14,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,fitting,noglass,220,True,-1.0,-1.0,False,"[71, 69]",False,"[null, null]",False,"[68, 71]",False,"[null, null]"
e14,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,fitting,noglass,440,True,-1.0,-1.0,False,"[71, 69]",False,"[null, null]",False,"[68, 71]",False,"[null, null]"
e15,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,fitting,glass,220,True,0.5,0.0,True,"[null, 69]",False,"[209, 209]",False,"[71, 65]",False,"[209, 209]"
e15,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,fitting,glass,440,True,0.5,0.0,True,"[null, 69]",False,"[209, 209]",False,"[71, 65]",False,"[209, 209]"
e16,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,fitting,offpath,220,True,0.0,-0.5,False,"[null, null]",False,"[null, null]",True,"[null, 75]",False,"[null, null]"
e16,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,fitting,offpath,440,True,0.0,-0.5,False,"[null, null]",False,"[null, null]",True,"[null, 75]",False,"[null, null]"
e17,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,fitting,noglass,220,True,0.0,0.5,False,"[82, 80]",False,"[183, 183]",True,"[null, 81]",False,"[183, 183]"
e17,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,fitting,noglass,440,True,0.0,0.5,False,"[82, 80]",False,"[183, 183]",True,"[null, 81]",False,"[183, 183]"
e18,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,fitting,glass,220,True,1.0,1.0,False,"[null, null]",False,"[202, 202]",False,"[null, null]",False,"[202, 202]"
e18,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,fitting,glass,440,True,1.0,1.0,False,"[null, null]",False,"[202, 202]",False,"[null, null]",False,"[202, 202]"
e19,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,fitting,offpath,220,True,-1.0,-1.0,False,"[114, 156]",False,"[null, null]",False,"[184, 57]",False,"[null, null]"
e19,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,fitting,offpath,440,True,-1.0,-1.0,False,"[114, 156]",False,"[null, null]",False,"[184, 57]",False,"[null, null]"
e20,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,fitting,noglass,220,True,0.0,0.0,False,"[72, 63]",False,"[202, 202]",False,"[71, 73]",False,"[202, 202]"
e20,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,fitting,noglass,440,True,0.0,0.0,False,"[72, 63]",False,"[202, 202]",False,"[71, 73]",False,"[202, 202]"
e21,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,fitting,glass,220,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e21,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,fitting,glass,440,True,1.0,1.0,False,"[null, null]",False,"[432, 432]",False,"[null, null]",False,"[432, 432]"
e22,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,fitting,offpath,220,True,-1.0,-1.0,False,"[94, 87]",False,"[null, null]",False,"[94, 90]",False,"[null, null]"
e22,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,fitting,offpath,440,True,0.0,0.0,False,"[94, 87]",False,"[244, 244]",False,"[94, 90]",False,"[244, 244]"
e23,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,fitting,noglass,220,True,-1.0,-1.0,False,"[74, 77]",False,"[null, null]",False,"[76, 74]",False,"[null, null]"
e23,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,fitting,noglass,440,True,-1.0,-1.0,False,"[74, 77]",False,"[null, null]",False,"[76, 74]",False,"[null, null]"
e24,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,fitting,glass,220,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e24,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,fitting,glass,440,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e25,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,fitting,offpath,220,True,-1.0,-1.0,False,"[88, 84]",False,"[null, null]",False,"[89, 88]",False,"[null, null]"
e25,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,fitting,offpath,440,True,-1.0,-1.0,False,"[88, 84]",False,"[null, null]",False,"[89, 88]",False,"[null, null]"
e26,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,fitting,noglass,220,True,-1.0,-1.0,False,"[84, 85]",False,"[null, null]",False,"[84, 86]",False,"[null, null]"
e26,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,fitting,noglass,440,True,-1.0,-1.0,False,"[84, 85]",False,"[null, null]",False,"[84, 86]",False,"[null, null]"
e27,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,fitting,glass,220,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e27,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,fitting,glass,440,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e28,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,fitting,offpath,220,True,0.0,0.0,False,"[88, 88]",False,"[198, 198]",False,"[96, 79]",False,"[198, 198]"
e28,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,fitting,offpath,440,True,0.0,0.0,False,"[88, 88]",False,"[198, 198]",False,"[96, 79]",False,"[198, 198]"
e29,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,fitting,noglass,220,True,-1.0,-1.0,False,"[86, 86]",False,"[null, null]",False,"[86, 86]",False,"[null, null]"
e29,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,fitting,noglass,440,True,-1.0,-1.0,False,"[86, 86]",False,"[null, null]",False,"[86, 86]",False,"[null, null]"
e30,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,fitting,glass,220,True,0.0,0.0,False,"[null, null]",False,"[null, null]",True,"[null, null]",False,"[null, null]"
e30,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,fitting,glass,440,True,0.0,0.0,False,"[null, null]",False,"[null, null]",True,"[null, null]",False,"[null, null]"
e31,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,fitting,offpath,220,True,-1.0,-1.0,False,"[100, 87]",False,"[null, null]",False,"[79, 82]",False,"[null, null]"
e31,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,fitting,offpath,440,True,0.0,0.0,False,"[100, 87]",False,"[345, 345]",False,"[79, 82]",False,"[345, 345]"
e32,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,fitting,noglass,220,True,0.0,0.0,False,"[79, 80]",False,"[218, 218]",False,"[77, 76]",False,"[218, 218]"
e32,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,fitting,noglass,440,True,0.0,0.0,False,"[79, 80]",False,"[218, 218]",False,"[77, 76]",False,"[218, 218]"
e33,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,fitting,glass,220,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e33,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,fitting,glass,440,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e34,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,fitting,offpath,220,True,-1.0,-1.0,False,"[72, 74]",False,"[null, null]",False,"[77, 71]",False,"[null, null]"
e34,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,fitting,offpath,440,True,-1.0,-1.0,False,"[72, 74]",False,"[null, null]",False,"[77, 71]",False,"[null, null]"
e35,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,fitting,noglass,220,True,0.0,0.0,False,"[82, 85]",False,"[219, 219]",False,"[83, 81]",False,"[219, 219]"
e35,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,fitting,noglass,440,True,0.0,0.0,False,"[82, 85]",False,"[219, 219]",False,"[83, 81]",False,"[219, 219]"
e36,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,calibration,glass,220,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e36,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,calibration,glass,440,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e37,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,calibration,offpath,220,True,-1.0,-1.0,False,"[138, 135]",False,"[null, null]",False,"[133, 139]",False,"[null, null]"
e37,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,calibration,offpath,440,True,0.0,0.0,False,"[138, 135]",False,"[225, 225]",False,"[133, 139]",False,"[225, 225]"
e38,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,calibration,noglass,220,True,-1.0,-1.0,False,"[141, 143]",False,"[null, null]",False,"[141, 134]",False,"[null, null]"
e38,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,calibration,noglass,440,True,-1.0,-1.0,False,"[141, 143]",False,"[null, null]",False,"[141, 134]",False,"[null, null]"
e39,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,calibration,glass,220,True,0.0,-0.5,False,"[null, null]",False,"[null, null]",True,"[null, 69]",False,"[null, null]"
e39,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,calibration,glass,440,True,0.0,-0.5,False,"[null, null]",False,"[null, null]",True,"[null, 69]",False,"[null, null]"
e40,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,calibration,offpath,220,True,0.0,0.0,False,"[74, 74]",False,"[180, 180]",False,"[74, 76]",False,"[180, 180]"
e40,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,calibration,offpath,440,True,0.0,0.0,False,"[74, 74]",False,"[180, 180]",False,"[74, 76]",False,"[180, 180]"
e41,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,calibration,noglass,220,True,0.5,0.0,True,"[69, null]",False,"[203, 203]",False,"[80, 72]",False,"[203, 203]"
e41,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,calibration,noglass,440,True,0.5,0.0,True,"[69, null]",False,"[203, 203]",False,"[80, 72]",False,"[203, 203]"
e42,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,calibration,glass,220,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e42,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,calibration,glass,440,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e43,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,calibration,offpath,220,True,-1.0,-1.0,False,"[72, 71]",False,"[null, null]",False,"[74, 73]",False,"[null, null]"
e43,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,calibration,offpath,440,True,-1.0,-1.0,False,"[72, 71]",False,"[null, null]",False,"[74, 73]",False,"[null, null]"
e44,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,calibration,noglass,220,True,-1.0,-1.0,False,"[62, 63]",False,"[null, null]",False,"[65, 66]",False,"[null, null]"
e44,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,calibration,noglass,440,True,-1.0,-1.0,False,"[62, 63]",False,"[null, null]",False,"[65, 66]",False,"[null, null]"
e45,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,calibration,glass,220,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e45,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,calibration,glass,440,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e46,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,calibration,offpath,220,False,0.0,0.0,False,[],False,[],False,[],False,[]
e46,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,calibration,offpath,440,False,0.0,0.0,False,[],False,[],False,[],False,[]
e47,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,calibration,noglass,220,True,-1.0,-0.5,False,"[88, 89]",False,"[null, null]",True,"[null, 82]",False,"[null, null]"
e47,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,calibration,noglass,440,True,-1.0,-0.5,False,"[88, 89]",False,"[null, null]",True,"[null, 82]",False,"[null, null]"
