action_step,Base,AlwaysDetour,RiskDetour,DirectQ_sanity,BenefitGate,RiskOnlyBenefit,A_reference,A_long_reference
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.010416666666666666,0.0,0.0,0.010416666666666666,0.010416666666666666,0.0,0.010416666666666666,0.010416666666666666
58,0.010416666666666666,0.0,0.0,0.010416666666666666,0.010416666666666666,0.0,0.010416666666666666,0.010416666666666666
59,0.010416666666666666,0.0,0.0,0.010416666666666666,0.010416666666666666,0.0,0.010416666666666666,0.010416666666666666
60,0.010416666666666666,0.0,0.0,0.010416666666666666,0.010416666666666666,0.0,0.010416666666666666,0.010416666666666666
61,0.010416666666666666,0.0,0.0,0.010416666666666666,0.010416666666666666,0.0,0.010416666666666666,0.010416666666666666
62,0.010416666666666666,0.0,0.0,0.010416666666666666,0.010416666666666666,0.0,0.010416666666666666,0.010416666666666666
63,0.010416666666666666,0.0,0.0,0.010416666666666666,0.010416666666666666,0.0,0.010416666666666666,0.010416666666666666
64,0.010416666666666666,0.0,0.0,0.010416666666666666,0.010416666666666666,0.0,0.010416666666666666,0.010416666666666666
65,0.03125,0.0,0.020833333333333332,0.03125,0.03125,0.020833333333333332,0.020833333333333332,0.020833333333333332
66,0.041666666666666664,0.0,0.03125,0.041666666666666664,0.041666666666666664,0.03125,0.03125,0.03125
67,0.05208333333333333,0.0,0.041666666666666664,0.05208333333333333,0.05208333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664
68,0.06249999999999999,0.0,0.05208333333333333,0.06249999999999999,0.06249999999999999,0.05208333333333333,0.05208333333333333,0.05208333333333333
69,0.07291666666666667,0.0,0.05208333333333333,0.07291666666666667,0.07291666666666667,0.05208333333333333,0.06249999999999999,0.06249999999999999
70,0.07291666666666667,0.0,0.05208333333333333,0.07291666666666667,0.07291666666666667,0.05208333333333333,0.06249999999999999,0.06249999999999999
71,0.125,0.0,0.10416666666666666,0.125,0.125,0.10416666666666666,0.10416666666666666,0.10416666666666666
72,0.13541666666666666,0.0,0.11458333333333333,0.13541666666666666,0.13541666666666666,0.11458333333333333,0.10416666666666666,0.10416666666666666
73,0.15625,0.0,0.13541666666666666,0.15625,0.15625,0.13541666666666666,0.125,0.125
74,0.19791666666666666,0.0,0.17708333333333334,0.19791666666666666,0.19791666666666666,0.17708333333333334,0.16666666666666666,0.16666666666666666
75,0.20833333333333331,0.0,0.18749999999999997,0.20833333333333331,0.20833333333333331,0.18749999999999997,0.17708333333333331,0.17708333333333331
76,0.23958333333333331,0.0,0.21875,0.23958333333333331,0.23958333333333331,0.21875,0.20833333333333331,0.20833333333333331
77,0.26041666666666663,0.0,0.23958333333333331,0.26041666666666663,0.26041666666666663,0.23958333333333331,0.22916666666666666,0.22916666666666666
78,0.28125,0.0,0.26041666666666663,0.28125,0.28125,0.26041666666666663,0.25,0.25
79,0.32291666666666663,0.0,0.29166666666666663,0.32291666666666663,0.32291666666666663,0.29166666666666663,0.2916666666666667,0.2916666666666667
80,0.33333333333333337,0.0,0.3020833333333333,0.33333333333333337,0.33333333333333337,0.3020833333333333,0.2916666666666667,0.2916666666666667
81,0.3645833333333333,0.0,0.3125,0.3645833333333333,0.3645833333333333,0.3125,0.32291666666666663,0.32291666666666663
82,0.40625,0.0,0.3541666666666667,0.40625,0.40625,0.3541666666666667,0.36458333333333337,0.36458333333333337
83,0.4270833333333333,0.0,0.375,0.4270833333333333,0.4270833333333333,0.375,0.38541666666666663,0.38541666666666663
84,0.44791666666666663,0.0,0.38541666666666663,0.44791666666666663,0.44791666666666663,0.38541666666666663,0.40625,0.40625
85,0.44791666666666663,0.0,0.38541666666666663,0.44791666666666663,0.44791666666666663,0.38541666666666663,0.40625,0.40625
86,0.47916666666666663,0.0,0.41666666666666663,0.47916666666666663,0.47916666666666663,0.41666666666666663,0.4375,0.4375
87,0.48958333333333326,0.0,0.4270833333333333,0.48958333333333326,0.48958333333333326,0.4270833333333333,0.44791666666666663,0.44791666666666663
88,0.5,0.0,0.4375,0.5,0.5,0.4375,0.4583333333333333,0.4583333333333333
89,0.5104166666666666,0.0,0.44791666666666663,0.5104166666666666,0.5104166666666666,0.44791666666666663,0.46875,0.46875
90,0.5208333333333333,0.0,0.4583333333333333,0.5208333333333333,0.5208333333333333,0.4583333333333333,0.47916666666666663,0.47916666666666663
91,0.53125,0.0,0.46874999999999994,0.53125,0.53125,0.46874999999999994,0.48958333333333326,0.48958333333333326
92,0.5416666666666666,0.0,0.46874999999999994,0.5416666666666666,0.5416666666666666,0.46874999999999994,0.49999999999999994,0.49999999999999994
93,0.5625,0.0,0.47916666666666663,0.5625,0.5625,0.47916666666666663,0.5208333333333333,0.5208333333333333
94,0.5729166666666666,0.0,0.4895833333333333,0.5729166666666666,0.5729166666666666,0.4895833333333333,0.53125,0.53125
95,0.5729166666666666,0.0,0.4895833333333333,0.5729166666666666,0.5729166666666666,0.4895833333333333,0.53125,0.53125
96,0.5833333333333333,0.0,0.4895833333333333,0.5833333333333333,0.5833333333333333,0.4895833333333333,0.5416666666666666,0.5416666666666666
97,0.59375,0.0,0.5,0.59375,0.59375,0.5,0.5520833333333333,0.5520833333333333
98,0.59375,0.0,0.5,0.59375,0.59375,0.5,0.5520833333333333,0.5520833333333333
99,0.59375,0.0,0.5,0.59375,0.59375,0.5,0.5520833333333333,0.5520833333333333
100,0.59375,0.0,0.5,0.59375,0.59375,0.5,0.5520833333333333,0.5520833333333333
101,0.59375,0.0,0.5,0.59375,0.59375,0.5,0.5520833333333333,0.5520833333333333
102,0.59375,0.0,0.5,0.59375,0.59375,0.5,0.5520833333333333,0.5520833333333333
103,0.59375,0.0,0.5,0.59375,0.59375,0.5,0.5520833333333333,0.5520833333333333
104,0.59375,0.0,0.5,0.59375,0.59375,0.5,0.5520833333333333,0.5520833333333333
105,0.6041666666666666,0.0,0.5104166666666666,0.6041666666666666,0.6041666666666666,0.5104166666666666,0.5625,0.5625
106,0.6145833333333333,0.0,0.5208333333333333,0.6145833333333333,0.6145833333333333,0.5208333333333333,0.5729166666666666,0.5729166666666666
107,0.6145833333333333,0.0,0.5208333333333333,0.6145833333333333,0.6145833333333333,0.5208333333333333,0.5729166666666666,0.5729166666666666
108,0.6145833333333333,0.0,0.5208333333333333,0.6145833333333333,0.6145833333333333,0.5208333333333333,0.5729166666666666,0.5729166666666666
109,0.6145833333333333,0.0,0.5208333333333333,0.6145833333333333,0.6145833333333333,0.5208333333333333,0.5729166666666666,0.5729166666666666
110,0.6145833333333333,0.0,0.5208333333333333,0.6145833333333333,0.6145833333333333,0.5208333333333333,0.5729166666666666,0.5729166666666666
111,0.6145833333333333,0.0,0.5208333333333333,0.6145833333333333,0.6145833333333333,0.5208333333333333,0.5729166666666666,0.5729166666666666
112,0.6145833333333333,0.0,0.5208333333333333,0.6145833333333333,0.6145833333333333,0.5208333333333333,0.5729166666666666,0.5729166666666666
113,0.6145833333333333,0.0,0.5208333333333333,0.6145833333333333,0.6145833333333333,0.5208333333333333,0.5729166666666666,0.5729166666666666
114,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
115,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
116,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
117,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
118,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
119,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
120,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
121,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
122,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
123,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
124,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
125,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
126,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
127,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
128,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
129,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
130,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
131,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
132,0.625,0.0,0.53125,0.625,0.625,0.53125,0.5833333333333333,0.5833333333333333
133,0.6354166666666666,0.0,0.5416666666666666,0.6354166666666666,0.6354166666666666,0.5416666666666666,0.59375,0.59375
134,0.6458333333333333,0.0,0.5520833333333333,0.6458333333333333,0.6458333333333333,0.5520833333333333,0.6041666666666666,0.6041666666666666
135,0.6458333333333333,0.0,0.5520833333333333,0.6458333333333333,0.6458333333333333,0.5520833333333333,0.6041666666666666,0.6041666666666666
136,0.6458333333333333,0.0,0.5520833333333333,0.6458333333333333,0.6458333333333333,0.5520833333333333,0.6041666666666666,0.6041666666666666
137,0.6458333333333333,0.0,0.5520833333333333,0.6458333333333333,0.6458333333333333,0.5520833333333333,0.6041666666666666,0.6041666666666666
138,0.6458333333333333,0.0,0.5520833333333333,0.6458333333333333,0.6458333333333333,0.5520833333333333,0.6041666666666666,0.6041666666666666
139,0.65625,0.0,0.5625,0.65625,0.65625,0.5625,0.6145833333333333,0.6145833333333333
140,0.65625,0.0,0.5625,0.65625,0.65625,0.5625,0.6145833333333333,0.6145833333333333
141,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
142,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
143,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
144,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
145,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
146,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
147,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
148,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
149,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
150,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
151,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
152,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
153,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
154,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
155,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
156,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
157,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
158,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
159,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
160,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
161,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
162,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
163,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
164,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
165,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
166,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
167,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
168,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
169,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
170,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
171,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
172,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
173,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
174,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
175,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
176,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
177,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
178,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
179,0.6666666666666666,0.0,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
180,0.6666666666666666,0.020833333333333332,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
181,0.6666666666666666,0.020833333333333332,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
182,0.6666666666666666,0.020833333333333332,0.5729166666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.625,0.625
183,0.6666666666666666,0.041666666666666664,0.59375,0.6666666666666666,0.6666666666666666,0.59375,0.625,0.625
184,0.6770833333333333,0.041666666666666664,0.59375,0.6770833333333333,0.6770833333333333,0.59375,0.6354166666666666,0.6354166666666666
185,0.6770833333333333,0.041666666666666664,0.59375,0.6770833333333333,0.6770833333333333,0.59375,0.6354166666666666,0.6354166666666666
186,0.6770833333333333,0.041666666666666664,0.59375,0.6770833333333333,0.6770833333333333,0.59375,0.6354166666666666,0.6354166666666666
187,0.6770833333333333,0.041666666666666664,0.59375,0.6770833333333333,0.6770833333333333,0.59375,0.6354166666666666,0.6354166666666666
188,0.6770833333333333,0.041666666666666664,0.59375,0.6770833333333333,0.6770833333333333,0.59375,0.6354166666666666,0.6354166666666666
189,0.6770833333333333,0.041666666666666664,0.59375,0.6770833333333333,0.6770833333333333,0.59375,0.6354166666666666,0.6354166666666666
190,0.6770833333333333,0.041666666666666664,0.59375,0.6770833333333333,0.6770833333333333,0.59375,0.6354166666666666,0.6354166666666666
191,0.6770833333333333,0.041666666666666664,0.59375,0.6770833333333333,0.6770833333333333,0.59375,0.6354166666666666,0.6354166666666666
192,0.6770833333333333,0.041666666666666664,0.59375,0.6770833333333333,0.6770833333333333,0.59375,0.6354166666666666,0.6354166666666666
193,0.6770833333333333,0.041666666666666664,0.59375,0.6770833333333333,0.6770833333333333,0.59375,0.6354166666666666,0.6354166666666666
194,0.6770833333333333,0.041666666666666664,0.59375,0.6770833333333333,0.6770833333333333,0.59375,0.6354166666666666,0.6354166666666666
195,0.6770833333333333,0.041666666666666664,0.59375,0.6770833333333333,0.6770833333333333,0.59375,0.6354166666666666,0.6354166666666666
196,0.6770833333333333,0.041666666666666664,0.59375,0.6770833333333333,0.6770833333333333,0.59375,0.6354166666666666,0.6354166666666666
197,0.6770833333333333,0.0625,0.59375,0.6770833333333333,0.6770833333333333,0.59375,0.6354166666666666,0.6354166666666666
198,0.6770833333333333,0.08333333333333333,0.6145833333333333,0.6770833333333333,0.6770833333333333,0.6145833333333333,0.6354166666666666,0.6354166666666666
199,0.6770833333333333,0.10416666666666666,0.6145833333333333,0.6770833333333333,0.6770833333333333,0.6145833333333333,0.6354166666666666,0.6354166666666666
200,0.6770833333333333,0.10416666666666666,0.6145833333333333,0.6770833333333333,0.6770833333333333,0.6145833333333333,0.6354166666666666,0.6354166666666666
201,0.6770833333333333,0.10416666666666666,0.6145833333333333,0.6770833333333333,0.6770833333333333,0.6145833333333333,0.6354166666666666,0.6354166666666666
202,0.6770833333333333,0.14583333333333331,0.6145833333333333,0.6770833333333333,0.6770833333333333,0.6145833333333333,0.65625,0.65625
203,0.6770833333333333,0.16666666666666666,0.6145833333333333,0.6770833333333333,0.6770833333333333,0.6145833333333333,0.6770833333333333,0.6770833333333333
204,0.6770833333333333,0.16666666666666666,0.6145833333333333,0.6770833333333333,0.6770833333333333,0.6145833333333333,0.6770833333333333,0.6770833333333333
205,0.6770833333333333,0.16666666666666666,0.6145833333333333,0.6770833333333333,0.6770833333333333,0.6145833333333333,0.6770833333333333,0.6770833333333333
206,0.6770833333333333,0.1875,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333
207,0.6770833333333333,0.1875,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333
208,0.6770833333333333,0.1875,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333
209,0.6770833333333333,0.20833333333333331,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
210,0.6770833333333333,0.22916666666666666,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
211,0.6770833333333333,0.22916666666666666,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
212,0.6770833333333333,0.22916666666666666,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
213,0.6770833333333333,0.22916666666666666,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
214,0.6770833333333333,0.22916666666666666,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
215,0.6770833333333333,0.22916666666666666,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
216,0.6770833333333333,0.22916666666666666,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
217,0.6770833333333333,0.25,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
218,0.6770833333333333,0.2708333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
219,0.6770833333333333,0.29166666666666663,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
220,0.6770833333333333,0.3125,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
221,0.6770833333333333,0.3125,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
222,0.6770833333333333,0.3125,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
223,0.6770833333333333,0.3125,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
224,0.6770833333333333,0.3125,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
225,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
226,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
227,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
228,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
229,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
230,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
231,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
232,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
233,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
234,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
235,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
236,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
237,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
238,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
239,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
240,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
241,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
242,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
243,0.6770833333333333,0.3333333333333333,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
244,0.6770833333333333,0.35416666666666663,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
245,0.6770833333333333,0.35416666666666663,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
246,0.6770833333333333,0.35416666666666663,0.6354166666666666,0.6770833333333333,0.6770833333333333,0.6354166666666666,0.6979166666666666,0.6979166666666666
