episode,source,condition,phase,option,steps_compared_or_union,length_mismatch,action_first_difference,state_before_first_difference,state_after_first_difference,policy_input_first_difference,action_different_steps,state_before_different_steps,state_after_different_steps,policy_input_different_steps
e03,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,glass,A,0,63,True,29,30,29,21,43,44,45,51
e03,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,glass,A,1,180,False,,,,,0,0,0,0
e03,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,glass,B,0,62,False,30,31,30,20,41,49,50,55
e03,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,glass,B,1,180,False,,,,,0,0,0,0
e04,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,offpath,A,0,415,True,39,40,39,27,53,53,54,65
e04,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,offpath,A,1,415,False,,,,,0,0,0,0
e04,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,offpath,B,0,68,True,29,30,29,27,59,63,64,66
e04,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,offpath,B,1,415,False,,,,,0,0,0,0
e05,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,noglass,A,0,71,True,28,29,28,27,56,58,59,60
e05,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,noglass,A,1,201,False,,,,,0,0,0,0
e05,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,noglass,B,0,74,True,28,29,28,28,53,55,56,56
e05,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,noglass,B,1,201,False,,,,,0,0,0,0
e06,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,glass,A,0,38,False,16,17,16,2,22,22,23,37
e06,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,glass,A,1,440,False,,,,,0,0,0,0
e06,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,glass,B,0,38,False,17,18,17,2,19,21,22,36
e06,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,glass,B,1,440,False,,,,,0,0,0,0
e07,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,offpath,A,0,85,True,39,40,39,2,32,45,46,82
e07,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,offpath,A,1,199,False,,,,,0,0,0,0
e07,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,offpath,B,0,87,True,4,5,4,2,74,78,79,81
e07,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,offpath,B,1,199,False,,,,,0,0,0,0
e08,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,noglass,A,0,87,True,26,27,26,24,51,56,57,59
e08,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,noglass,A,1,206,False,,,,,0,0,0,0
e08,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,noglass,B,0,84,True,27,28,27,23,45,54,55,57
e08,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,noglass,B,1,206,False,,,,,0,0,0,0
e09,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,glass,A,0,63,True,24,25,24,20,11,10,11,15
e09,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,glass,A,1,76,False,,,,,0,0,0,0
e09,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,glass,B,0,422,True,31,32,31,22,30,36,37,44
e09,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,glass,B,1,76,False,,,,,0,0,0,0
e10,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,offpath,A,0,68,True,16,17,16,15,63,62,63,64
e10,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,offpath,A,1,427,False,,,,,0,0,0,0
e10,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,offpath,B,0,65,False,18,19,18,15,57,60,61,64
e10,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,offpath,B,1,427,False,,,,,0,0,0,0
e11,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,noglass,A,0,62,True,19,20,19,19,54,53,54,54
e11,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,noglass,A,1,198,False,,,,,0,0,0,0
e11,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,noglass,B,0,62,True,19,20,19,19,53,52,53,53
e11,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,noglass,B,1,198,False,,,,,0,0,0,0
e12,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,glass,A,0,34,True,14,15,14,8,16,22,23,29
e12,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,glass,A,1,266,False,,,,,0,0,0,0
e12,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,glass,B,0,65,True,14,15,14,8,17,23,24,30
e12,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,glass,B,1,266,False,,,,,0,0,0,0
e13,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,offpath,A,0,101,True,9,10,9,3,72,74,75,81
e13,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,offpath,A,1,439,False,,,,,0,0,0,0
e13,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,offpath,B,0,105,True,13,14,13,3,70,69,70,80
e13,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,offpath,B,1,439,False,,,,,0,0,0,0
e14,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,noglass,A,0,59,True,35,36,35,20,33,34,35,41
e14,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,noglass,A,1,428,False,,,,,0,0,0,0
e14,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,noglass,B,0,59,True,43,44,43,19,24,25,26,38
e14,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,noglass,B,1,428,False,,,,,0,0,0,0
e15,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,glass,A,0,69,True,2,3,2,2,30,36,37,37
e15,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,glass,A,1,209,False,,,,,0,0,0,0
e15,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,glass,B,0,71,True,2,3,2,2,58,63,64,64
e15,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,glass,B,1,209,False,,,,,0,0,0,0
e16,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,offpath,A,0,63,True,16,17,16,15,52,58,59,60
e16,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,offpath,A,1,63,False,,,,,0,0,0,0
e16,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,offpath,B,0,63,True,15,16,15,15,59,60,61,61
e16,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,offpath,B,1,63,False,,,,,0,0,0,0
e17,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,noglass,A,0,69,True,16,17,16,15,64,64,65,66
e17,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,noglass,A,1,170,False,,,,,0,0,0,0
e17,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,noglass,B,0,427,True,22,23,22,17,60,59,60,62
e17,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,noglass,B,1,170,False,,,,,0,0,0,0
e18,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,glass,A,0,22,False,24,25,24,14,7,9,10,20
e18,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,glass,A,1,191,False,,,,,0,0,0,0
e18,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,glass,B,0,22,True,17,18,17,14,14,15,16,19
e18,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,glass,B,1,191,False,,,,,0,0,0,0
e19,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,offpath,A,0,129,True,33,34,33,29,77,81,82,85
e19,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,offpath,A,1,413,False,,,,,0,0,0,0
e19,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,offpath,B,0,157,True,32,33,32,29,22,25,26,29
e19,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,offpath,B,1,413,False,,,,,0,0,0,0
e20,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,noglass,A,0,59,True,34,35,34,16,27,29,30,35
e20,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,noglass,A,1,189,False,,,,,0,0,0,0
e20,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,noglass,B,0,60,True,18,19,18,16,41,53,54,55
e20,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,noglass,B,1,189,False,,,,,0,0,0,0
e21,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,glass,A,0,68,True,16,17,16,16,22,21,22,22
e21,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,glass,A,1,418,False,,,,,0,0,0,0
e21,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,glass,B,0,144,True,24,25,24,16,15,14,15,23
e21,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,glass,B,1,418,False,,,,,0,0,0,0
e22,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,offpath,A,0,57,True,40,41,40,39,41,47,48,49
e22,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,offpath,A,1,207,False,,,,,0,0,0,0
e22,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,offpath,B,0,57,True,42,43,42,39,42,48,49,52
e22,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,offpath,B,1,207,False,,,,,0,0,0,0
e23,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,noglass,A,0,37,True,52,53,52,43,18,22,23,28
e23,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,noglass,A,1,400,False,,,,,0,0,0,0
e23,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,noglass,B,0,36,True,52,53,52,42,18,22,23,27
e23,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,noglass,B,1,400,False,,,,,0,0,0,0
e24,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,glass,A,0,36,True,10,11,10,3,26,26,27,34
e24,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,glass,A,1,439,False,,,,,0,0,0,0
e24,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,glass,B,0,36,True,10,11,10,3,23,26,27,34
e24,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,glass,B,1,439,False,,,,,0,0,0,0
e25,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,offpath,A,0,85,True,5,6,5,5,78,79,80,80
e25,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,offpath,A,1,437,False,,,,,0,0,0,0
e25,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,offpath,B,0,86,True,10,11,10,5,69,78,79,84
e25,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,offpath,B,1,437,False,,,,,0,0,0,0
e26,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,noglass,A,0,83,True,32,33,32,21,45,52,53,58
e26,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,noglass,A,1,438,False,,,,373,0,0,0,2
e26,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,noglass,B,0,84,True,28,29,28,22,50,56,57,61
e26,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,noglass,B,1,438,False,,,,345,0,0,0,3
e27,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,glass,A,0,34,True,67,68,67,61,19,18,19,25
e27,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,glass,A,1,382,False,,,,,0,0,0,0
e27,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,glass,B,0,27,False,68,69,68,60,16,17,18,23
e27,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,glass,B,1,382,False,,,,,0,0,0,0
e28,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,offpath,A,0,69,False,21,22,21,21,65,67,68,68
e28,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,offpath,A,1,179,False,,,,,0,0,0,0
e28,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,offpath,B,0,77,True,21,22,21,21,56,58,59,59
e28,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,offpath,B,1,179,False,,,,,0,0,0,0
e29,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,noglass,A,0,76,False,,,,33,0,0,0,14
e29,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,noglass,A,1,430,False,,,,,0,0,0,0
e29,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,noglass,B,0,76,False,,,,32,0,0,0,9
e29,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,noglass,B,1,430,False,,,,,0,0,0,0
e30,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,glass,A,0,158,True,26,27,26,21,68,69,70,75
e30,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,glass,A,1,403,True,373,374,373,362,39,42,43,44
e30,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,glass,B,0,421,True,26,27,26,21,60,62,63,67
e30,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,glass,B,1,405,True,403,404,403,377,15,18,19,22
e31,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,offpath,A,0,97,True,9,10,9,5,65,78,79,82
e31,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,offpath,A,1,342,False,,,,,0,0,0,0
e31,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,offpath,B,0,79,True,6,7,6,5,69,73,74,75
e31,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,offpath,B,1,342,False,,,,,0,0,0,0
e32,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,noglass,A,0,69,True,44,45,44,19,34,35,36,46
e32,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,noglass,A,1,207,False,,,,,0,0,0,0
e32,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,noglass,B,0,66,True,34,35,34,18,40,42,43,49
e32,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,noglass,B,1,207,False,,,,,0,0,0,0
e33,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,glass,A,0,27,True,15,16,15,10,18,17,18,22
e33,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,glass,A,1,116,False,,,,,0,0,0,0
e33,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,glass,B,0,27,True,24,25,24,10,8,8,9,18
e33,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,glass,B,1,116,False,,,,,0,0,0,0
e34,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,offpath,A,0,36,True,43,44,43,40,26,29,30,33
e34,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,offpath,A,1,402,False,,,,,0,0,0,0
e34,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,offpath,B,0,39,True,43,44,43,40,26,28,29,32
e34,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,offpath,B,1,402,False,,,,,0,0,0,0
e35,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,noglass,A,0,74,True,35,36,35,21,45,47,48,53
e35,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,noglass,A,1,208,False,,,,,0,0,0,0
e35,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,noglass,B,0,72,True,35,36,35,20,44,46,47,51
e35,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,noglass,B,1,208,False,,,,,0,0,0,0
e36,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,glass,A,0,386,False,59,60,59,56,376,381,382,385
e36,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,glass,A,1,386,False,337,338,337,329,104,103,104,112
e36,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,glass,B,0,386,False,59,60,59,56,374,381,382,385
e36,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,glass,B,1,386,False,333,334,333,329,100,107,108,112
e37,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,offpath,A,0,87,True,60,61,60,53,65,75,76,81
e37,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,offpath,A,1,174,False,,,,,0,0,0,0
e37,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,offpath,B,0,88,True,78,79,78,53,54,55,56,71
e37,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,offpath,B,1,174,False,,,,,0,0,0,0
e38,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,noglass,A,0,91,True,104,105,104,68,35,37,38,47
e38,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,noglass,A,1,388,False,326,327,326,326,110,114,115,115
e38,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,noglass,B,0,89,True,86,87,86,86,45,48,49,49
e38,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,noglass,B,1,388,False,326,327,326,326,106,114,115,115
e39,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,glass,A,0,34,False,11,12,11,4,18,25,26,32
e39,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,glass,A,1,438,False,,,,,0,0,0,0
e39,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,glass,B,0,67,True,17,18,17,4,19,19,20,29
e39,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,glass,B,1,438,False,,,,,0,0,0,0
e40,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,offpath,A,0,64,False,15,16,15,14,58,59,60,61
e40,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,offpath,A,1,170,False,,,,,0,0,0,0
e40,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,offpath,B,0,66,True,26,27,26,12,44,48,49,60
e40,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,offpath,B,1,170,False,,,,,0,0,0,0
e41,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,noglass,A,0,428,True,29,30,29,20,37,40,41,43
e41,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,noglass,A,1,191,False,,,,,0,0,0,0
e41,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,noglass,B,0,68,True,34,35,34,23,39,38,39,47
e41,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,noglass,B,1,191,False,,,,,0,0,0,0
e42,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,glass,A,0,18,False,,,,19,0,0,0,9
e42,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,glass,A,1,428,False,,,,,0,0,0,0
e42,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,glass,B,0,18,True,20,21,20,16,9,9,10,12
e42,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,glass,B,1,428,False,,,,,0,0,0,0
e43,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,offpath,A,0,41,True,42,43,42,33,29,29,30,39
e43,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,offpath,A,1,409,False,,,,,0,0,0,0
e43,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,offpath,B,0,43,True,40,41,40,35,30,33,34,39
e43,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,offpath,B,1,409,False,,,,,0,0,0,0
e44,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,noglass,A,0,34,True,32,33,32,31,28,30,31,32
e44,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,noglass,A,1,411,False,,,,,0,0,0,0
e44,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,noglass,B,0,37,True,35,36,35,34,27,30,31,32
e44,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,noglass,B,1,411,False,,,,,0,0,0,0
e45,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,glass,A,0,66,True,19,20,19,10,23,24,25,34
e45,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,glass,A,1,135,False,,,,,0,0,0,0
e45,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,glass,B,0,44,True,13,14,13,10,29,28,29,32
e45,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,glass,B,1,135,False,,,,,0,0,0,0
e47,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,noglass,A,0,76,True,50,51,50,23,29,38,39,51
e47,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,noglass,A,1,427,False,,,,,0,0,0,0
e47,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,noglass,B,0,427,True,24,25,24,23,45,58,59,60
e47,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,noglass,B,1,427,False,,,,,0,0,0,0
