method,source,decisions,utility,task_success_rate,catastrophe_rate,intervention_rate,strict_base_recall,strict_detour_recall,strict_retreat_recall
Base,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,12,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,1.0,,
Base,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,30,0.3333333333333333,0.6333333333333333,0.3,0.0,1.0,0.0,0.0
Base,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,15,0.26666666666666666,0.6,0.3333333333333333,0.0,1.0,0.0,0.0
Base,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,5,-1.0,0.0,1.0,0.0,,0.0,
Base,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,15,0.3333333333333333,0.4666666666666667,0.13333333333333333,0.0,1.0,,
Base,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,12,0.5,0.75,0.25,0.0,1.0,,0.0
Always Detour,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,12,0.5833333333333334,0.5833333333333334,0.0,1.0,0.0,1.0,
Always Detour,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,5,-0.2,0.0,0.2,1.0,,1.0,
Always Detour,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,0.4444444444444444,0.4444444444444444,0.0,1.0,0.0,1.0,
Always Detour,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,-1.0,0.0,1.0,1.0,0.0,,
Always Detour,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,0.3333333333333333,0.5833333333333334,0.25,1.0,0.0,1.0,0.0
Always Detour,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,12,0.3333333333333333,0.5,0.16666666666666666,1.0,0.0,,0.0
Always Detour,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,12,1.0,1.0,0.0,1.0,,1.0,
Always Detour,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,12,0.08333333333333333,0.25,0.16666666666666666,1.0,0.0,,0.0
Always Detour,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,30,0.6333333333333333,0.6666666666666666,0.03333333333333333,1.0,0.0,1.0,0.0
Always Detour,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,12,0.0,0.25,0.25,1.0,0.0,,0.0
Always Detour,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,15,0.13333333333333333,0.3333333333333333,0.2,1.0,0.0,1.0,0.0
Always Detour,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,15,0.0,0.4,0.4,1.0,0.0,1.0,
Always Detour,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,12,0.5833333333333334,0.6666666666666666,0.08333333333333333,1.0,0.0,1.0,
Always Detour,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,12,0.8333333333333334,0.9166666666666666,0.08333333333333333,1.0,,1.0,
Always Detour,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,12,0.4166666666666667,0.4166666666666667,0.0,1.0,0.0,,
Always Detour,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,30,0.23333333333333334,0.43333333333333335,0.2,1.0,0.0,1.0,0.0
Always Detour,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,15,0.2,0.3333333333333333,0.13333333333333333,1.0,0.0,1.0,0.0
Always Detour,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,5,0.2,0.4,0.2,1.0,,1.0,
Always Detour,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,15,0.2,0.26666666666666666,0.06666666666666667,1.0,0.0,,
Always Detour,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,12,0.08333333333333333,0.25,0.16666666666666666,1.0,0.0,,0.0
Always Retreat,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,12,0.0,0.0,0.0,1.0,0.0,0.0,
Always Retreat,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,5,-1.0,0.0,1.0,1.0,,0.0,
Always Retreat,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,0.0,0.0,0.0,1.0,0.0,0.0,
Always Retreat,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,-1.0,0.0,1.0,1.0,0.0,,
Always Retreat,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Always Retreat,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,12,0.0,0.0,0.0,1.0,0.0,,1.0
Always Retreat,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,12,0.0,0.0,0.0,1.0,,0.0,
Always Retreat,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,12,0.0,0.0,0.0,1.0,0.0,,1.0
Always Retreat,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,30,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Always Retreat,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,12,0.0,0.0,0.0,1.0,0.0,,1.0
Always Retreat,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,15,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Always Retreat,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,15,-0.4666666666666667,0.0,0.4666666666666667,1.0,0.0,0.0,
Always Retreat,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,12,-0.08333333333333333,0.0,0.08333333333333333,1.0,0.0,0.0,
Always Retreat,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,12,0.0,0.0,0.0,1.0,,0.0,
Always Retreat,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,12,0.0,0.0,0.0,1.0,0.0,,
Always Retreat,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,30,-0.03333333333333333,0.0,0.03333333333333333,1.0,0.0,0.0,1.0
Always Retreat,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,15,-0.06666666666666667,0.0,0.06666666666666667,1.0,0.0,0.0,1.0
Always Retreat,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,5,-1.0,0.0,1.0,1.0,,0.0,
Always Retreat,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,15,-0.06666666666666667,0.0,0.06666666666666667,1.0,0.0,,
Always Retreat,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,12,0.0,0.0,0.0,1.0,0.0,,1.0
Risk->Retreat,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,12,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.5,0.5,0.0,
Risk->Retreat,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,5,-1.0,0.0,1.0,1.0,,0.0,
Risk->Retreat,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,0.2777777777777778,0.5555555555555556,0.2777777777777778,0.1111111111111111,1.0,0.0,
Risk->Retreat,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,-1.0,0.0,1.0,1.0,0.0,,
Risk->Retreat,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,0.4166666666666667,0.5833333333333334,0.16666666666666666,0.16666666666666666,1.0,0.0,0.6666666666666666
Risk->Retreat,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,12,0.5,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.0,,1.0
Risk->Retreat,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,12,0.5833333333333334,0.6666666666666666,0.08333333333333333,0.25,,0.0,
Risk->Retreat,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,12,0.4166666666666667,0.5833333333333334,0.16666666666666666,0.16666666666666666,1.0,,0.5
Risk->Retreat,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,30,0.23333333333333334,0.5666666666666667,0.3333333333333333,0.0,1.0,0.0,0.0
Risk->Retreat,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,12,0.5,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.0,,0.5
Risk->Retreat,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,15,0.26666666666666666,0.4666666666666667,0.2,0.3333333333333333,1.0,0.0,0.3333333333333333
Risk->Retreat,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,15,0.2,0.5333333333333333,0.3333333333333333,0.2,0.8571428571428571,0.0,
Risk->Retreat,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,12,0.25,0.5833333333333334,0.3333333333333333,0.0,1.0,0.0,
Risk->Retreat,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,12,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,,0.0,
Risk->Retreat,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,12,0.08333333333333333,0.08333333333333333,0.0,0.9166666666666666,0.0,,
Risk->Retreat,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,30,0.4,0.6333333333333333,0.23333333333333334,0.1,1.0,0.0,0.3333333333333333
Risk->Retreat,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,15,0.26666666666666666,0.5333333333333333,0.26666666666666666,0.13333333333333333,0.75,0.0,0.5
Risk->Retreat,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,5,-1.0,0.0,1.0,1.0,,0.0,
Risk->Retreat,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,15,0.2,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.6666666666666666,,
Risk->Retreat,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,12,0.5,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.6666666666666666,,1.0
Risk->Detour,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,12,0.5,0.5833333333333334,0.08333333333333333,0.5833333333333334,0.25,0.6666666666666666,
Risk->Detour,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,5,-0.2,0.0,0.2,1.0,,1.0,
Risk->Detour,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,0.3888888888888889,0.6111111111111112,0.2222222222222222,0.2777777777777778,1.0,0.0,
Risk->Detour,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,-1.0,0.0,1.0,1.0,0.0,,
Risk->Detour,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,0.4166666666666667,0.6666666666666666,0.25,0.5833333333333334,1.0,1.0,0.0
Risk->Detour,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,12,0.3333333333333333,0.5,0.16666666666666666,0.6666666666666666,0.0,,0.0
Risk->Detour,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,12,0.8333333333333334,0.9166666666666666,0.08333333333333333,0.3333333333333333,,0.75,
Risk->Detour,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,12,0.3333333333333333,0.5833333333333334,0.25,0.25,1.0,,0.0
Risk->Detour,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,30,0.5,0.7,0.2,0.26666666666666666,1.0,0.6666666666666666,0.0
Risk->Detour,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,12,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.5,0.4,,0.0
Risk->Detour,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,15,0.3333333333333333,0.5333333333333333,0.2,0.5333333333333333,0.6,1.0,0.0
Risk->Detour,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,15,0.0,0.4,0.4,0.5333333333333333,0.2857142857142857,0.3333333333333333,
Risk->Detour,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,12,0.5,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,
Risk->Detour,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,12,0.3333333333333333,0.5833333333333334,0.25,0.3333333333333333,,0.3333333333333333,
Risk->Detour,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,12,0.4166666666666667,0.4166666666666667,0.0,0.9166666666666666,0.0,,
Risk->Detour,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,30,0.3333333333333333,0.6333333333333333,0.3,0.1,1.0,0.0,0.0
Risk->Detour,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,15,0.13333333333333333,0.4666666666666667,0.3333333333333333,0.2,0.5,0.0,0.0
Risk->Detour,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,5,0.2,0.4,0.2,1.0,,1.0,
Risk->Detour,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,15,0.26666666666666666,0.4,0.13333333333333333,0.13333333333333333,0.6666666666666666,,
Risk->Detour,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,12,0.25,0.5,0.25,0.4166666666666667,0.5,,0.0
Risk->BestFixed,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,12,0.5,0.5833333333333334,0.08333333333333333,0.5833333333333334,0.25,0.6666666666666666,
Risk->BestFixed,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,5,-0.2,0.0,0.2,1.0,,1.0,
Risk->BestFixed,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,0.3888888888888889,0.6111111111111112,0.2222222222222222,0.2777777777777778,1.0,0.0,
Risk->BestFixed,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,-1.0,0.0,1.0,1.0,0.0,,
Risk->BestFixed,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,0.4166666666666667,0.6666666666666666,0.25,0.5833333333333334,1.0,1.0,0.0
Risk->BestFixed,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,12,0.3333333333333333,0.5,0.16666666666666666,0.6666666666666666,0.0,,0.0
Risk->BestFixed,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,12,0.8333333333333334,0.9166666666666666,0.08333333333333333,0.3333333333333333,,0.75,
Risk->BestFixed,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,12,0.3333333333333333,0.5833333333333334,0.25,0.25,1.0,,0.0
Risk->BestFixed,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,30,0.5,0.7,0.2,0.26666666666666666,1.0,0.6666666666666666,0.0
Risk->BestFixed,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,12,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.5,0.4,,0.0
Risk->BestFixed,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,15,0.3333333333333333,0.5333333333333333,0.2,0.5333333333333333,0.6,1.0,0.0
Risk->BestFixed,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,15,0.0,0.4,0.4,0.5333333333333333,0.2857142857142857,0.3333333333333333,
Risk->BestFixed,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,12,0.5,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,
Risk->BestFixed,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,12,0.3333333333333333,0.5833333333333334,0.25,0.3333333333333333,,0.3333333333333333,
Risk->BestFixed,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,12,0.4166666666666667,0.4166666666666667,0.0,0.9166666666666666,0.0,,
Risk->BestFixed,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,30,0.3333333333333333,0.6333333333333333,0.3,0.1,1.0,0.0,0.0
Risk->BestFixed,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,15,0.26666666666666666,0.5333333333333333,0.26666666666666666,0.13333333333333333,0.75,0.0,0.5
Risk->BestFixed,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,5,0.2,0.4,0.2,1.0,,1.0,
Risk->BestFixed,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,15,0.26666666666666666,0.4,0.13333333333333333,0.13333333333333333,0.6666666666666666,,
Risk->BestFixed,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,12,0.25,0.5,0.25,0.4166666666666667,0.5,,0.0
Risk+TwoStage,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,12,0.5833333333333334,0.6666666666666666,0.08333333333333333,0.5,0.5,0.6666666666666666,
Risk+TwoStage,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,5,-1.0,0.0,1.0,1.0,,0.0,
Risk+TwoStage,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,0.3888888888888889,0.6111111111111112,0.2222222222222222,0.2777777777777778,1.0,0.0,
Risk+TwoStage,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,-1.0,0.0,1.0,1.0,0.0,,
Risk+TwoStage,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,0.4166666666666667,0.6666666666666666,0.25,0.5833333333333334,1.0,1.0,0.0
Risk+TwoStage,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,12,0.5,0.5,0.0,0.6666666666666666,0.0,,1.0
Risk+TwoStage,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,12,0.5833333333333334,0.6666666666666666,0.08333333333333333,0.3333333333333333,,0.25,
Risk+TwoStage,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,12,0.4166666666666667,0.5833333333333334,0.16666666666666666,0.25,1.0,,0.5
Risk+TwoStage,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,30,0.23333333333333334,0.5666666666666667,0.3333333333333333,0.0,1.0,0.0,0.0
Risk+TwoStage,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,12,0.25,0.4166666666666667,0.16666666666666666,0.5,0.4,,0.5
Risk+TwoStage,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,15,0.26666666666666666,0.5333333333333333,0.26666666666666666,0.3333333333333333,1.0,0.0,0.0
Risk+TwoStage,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,15,-0.06666666666666667,0.3333333333333333,0.4,0.5333333333333333,0.2857142857142857,0.3333333333333333,
Risk+TwoStage,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,12,0.4166666666666667,0.5833333333333334,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,
Risk+TwoStage,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,12,0.3333333333333333,0.5833333333333334,0.25,0.3333333333333333,,0.3333333333333333,
Risk+TwoStage,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,12,0.3333333333333333,0.3333333333333333,0.0,0.9166666666666666,0.0,,
Risk+TwoStage,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,30,0.4,0.6333333333333333,0.23333333333333334,0.1,1.0,0.0,0.3333333333333333
Risk+TwoStage,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,15,0.13333333333333333,0.4666666666666667,0.3333333333333333,0.2,0.5,0.0,0.0
Risk+TwoStage,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,5,0.2,0.4,0.2,1.0,,1.0,
Risk+TwoStage,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,15,0.26666666666666666,0.4,0.13333333333333333,0.13333333333333333,0.6666666666666666,,
Risk+TwoStage,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,12,0.5,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.6666666666666666,,1.0
SB-Risk+TwoStage,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,12,0.5833333333333334,0.6666666666666666,0.08333333333333333,0.5,0.5,0.6666666666666666,
SB-Risk+TwoStage,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,5,-1.0,0.0,1.0,1.0,,0.0,
SB-Risk+TwoStage,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,0.3888888888888889,0.6111111111111112,0.2222222222222222,0.2777777777777778,1.0,0.0,
SB-Risk+TwoStage,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,-1.0,0.0,1.0,1.0,0.0,,
SB-Risk+TwoStage,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,0.4166666666666667,0.6666666666666666,0.25,0.5833333333333334,1.0,1.0,0.0
SB-Risk+TwoStage,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,12,0.5,0.5,0.0,0.6666666666666666,0.0,,1.0
SB-Risk+TwoStage,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,12,0.5833333333333334,0.6666666666666666,0.08333333333333333,0.3333333333333333,,0.25,
SB-Risk+TwoStage,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,12,0.4166666666666667,0.5833333333333334,0.16666666666666666,0.25,1.0,,0.5
SB-Risk+TwoStage,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,30,0.23333333333333334,0.5666666666666667,0.3333333333333333,0.0,1.0,0.0,0.0
SB-Risk+TwoStage,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,12,0.25,0.4166666666666667,0.16666666666666666,0.5,0.4,,0.5
SB-Risk+TwoStage,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,15,0.26666666666666666,0.5333333333333333,0.26666666666666666,0.3333333333333333,1.0,0.0,0.0
SB-Risk+TwoStage,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,15,-0.06666666666666667,0.3333333333333333,0.4,0.5333333333333333,0.2857142857142857,0.3333333333333333,
SB-Risk+TwoStage,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,12,0.4166666666666667,0.5833333333333334,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,
SB-Risk+TwoStage,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,12,0.3333333333333333,0.5833333333333334,0.25,0.3333333333333333,,0.3333333333333333,
SB-Risk+TwoStage,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,12,0.3333333333333333,0.3333333333333333,0.0,0.9166666666666666,0.0,,
