method,condition,n_decisions,n_sources,task_success_count,task_success_numerator,task_success_denominator,task_success_rate,catastrophe_count,catastrophe_numerator,catastrophe_denominator,catastrophe_rate,safe_noncompletion_count,safe_noncompletion_numerator,safe_noncompletion_denominator,safe_noncompletion_rate,intervention_count,intervention_numerator,intervention_denominator,intervention_rate,unnecessary_intervention_count,unnecessary_intervention_numerator,unnecessary_intervention_denominator,unnecessary_intervention_rate,harmful_intervention_count,harmful_intervention_numerator,harmful_intervention_denominator,harmful_intervention_rate,beneficial_intervention_count,beneficial_intervention_numerator,beneficial_intervention_denominator,beneficial_intervention_rate,missed_beneficial_intervention_count,missed_beneficial_intervention_numerator,missed_beneficial_intervention_denominator,missed_beneficial_intervention_rate,unnecessary_given_base_success_count,unnecessary_given_base_success_denominator,unnecessary_given_base_success_rate,missed_given_beneficial_opportunity_count,missed_given_beneficial_opportunity_denominator,missed_given_beneficial_opportunity_rate,utility_sum,utility_denominator,mean_utility,oracle_regret_sum,oracle_regret_denominator,mean_oracle_regret,value_gain_over_base_sum,oracle_value_available_sum,oracle_value_recovered,success_rate
DirectQ-lambda3,glass,42,8,2,2,42,0.047619047619047616,23,23,42,0.5476190476190477,17,17,42,0.40476190476190477,30,30,42,0.7142857142857143,0,0,42,0.0,1,1,42,0.023809523809523808,18,18,42,0.42857142857142855,11,11,42,0.2619047619047619,0,0,,11,35,0.3142857142857143,-21.0,42,-0.5,22.0,42,0.5238095238095238,19.0,41.0,0.4634146341463415,0.047619047619047616
DirectQ-lambda5,glass,42,8,2,2,42,0.047619047619047616,18,18,42,0.42857142857142855,22,22,42,0.5238095238095238,30,30,42,0.7142857142857143,0,0,42,0.0,1,1,42,0.023809523809523808,23,23,42,0.5476190476190477,11,11,42,0.2619047619047619,0,0,,11,35,0.3142857142857143,-16.0,42,-0.38095238095238093,17.0,42,0.40476190476190477,24.0,41.0,0.5853658536585366,0.047619047619047616
DirectQ-lambda8,glass,42,8,2,2,42,0.047619047619047616,18,18,42,0.42857142857142855,22,22,42,0.5238095238095238,30,30,42,0.7142857142857143,0,0,42,0.0,1,1,42,0.023809523809523808,23,23,42,0.5476190476190477,11,11,42,0.2619047619047619,0,0,,11,35,0.3142857142857143,-16.0,42,-0.38095238095238093,17.0,42,0.40476190476190477,24.0,41.0,0.5853658536585366,0.047619047619047616
PairwiseAdvantage,glass,42,8,3,3,42,0.07142857142857142,27,27,42,0.6428571428571429,12,12,42,0.2857142857142857,31,31,42,0.7380952380952381,0,0,42,0.0,1,1,42,0.023809523809523808,14,14,42,0.3333333333333333,10,10,42,0.23809523809523808,0,0,,10,35,0.2857142857142857,-24.0,42,-0.5714285714285714,25.0,42,0.5952380952380952,16.0,41.0,0.3902439024390244,0.07142857142857142
OutcomeRouter,glass,42,8,3,3,42,0.07142857142857142,25,25,42,0.5952380952380952,14,14,42,0.3333333333333333,35,35,42,0.8333333333333334,0,0,42,0.0,1,1,42,0.023809523809523808,16,16,42,0.38095238095238093,7,7,42,0.16666666666666666,0,0,,7,35,0.2,-22.0,42,-0.5238095238095238,23.0,42,0.5476190476190477,18.0,41.0,0.43902439024390244,0.07142857142857142
OutcomeRouter-hidden-only,glass,42,8,5,5,42,0.11904761904761904,27,27,42,0.6428571428571429,10,10,42,0.23809523809523808,32,32,42,0.7619047619047619,0,0,42,0.0,1,1,42,0.023809523809523808,14,14,42,0.3333333333333333,9,9,42,0.21428571428571427,0,0,,9,35,0.2571428571428571,-22.0,42,-0.5238095238095238,23.0,42,0.5476190476190477,18.0,41.0,0.43902439024390244,0.11904761904761904
OutcomeRouter-state-action-only,glass,42,8,4,4,42,0.09523809523809523,24,24,42,0.5714285714285714,14,14,42,0.3333333333333333,36,36,42,0.8571428571428571,0,0,42,0.0,1,1,42,0.023809523809523808,17,17,42,0.40476190476190477,6,6,42,0.14285714285714285,0,0,,6,35,0.17142857142857143,-20.0,42,-0.47619047619047616,21.0,42,0.5,20.0,41.0,0.4878048780487805,0.09523809523809523
GeometryOracle-condition,glass,42,8,6,6,42,0.14285714285714285,19,19,42,0.4523809523809524,17,17,42,0.40476190476190477,42,42,42,1.0,0,0,42,0.0,1,1,42,0.023809523809523808,22,22,42,0.5238095238095238,0,0,42,0.0,0,0,,0,35,0.0,-13.0,42,-0.30952380952380953,14.0,42,0.3333333333333333,27.0,41.0,0.6585365853658537,0.14285714285714285
Base,noglass,32,6,30,30,32,0.9375,0,0,32,0.0,2,2,32,0.0625,0,0,32,0.0,0,0,32,0.0,0,0,32,0.0,0,0,32,0.0,2,2,32,0.0625,0,30,0.0,2,2,1.0,30.0,32,0.9375,2.0,32,0.0625,0.0,2.0,0.0,0.9375
Always Detour,noglass,32,6,18,18,32,0.5625,0,0,32,0.0,14,14,32,0.4375,32,32,32,1.0,30,30,32,0.9375,14,14,32,0.4375,2,2,32,0.0625,0,0,32,0.0,30,30,1.0,0,2,0.0,18.0,32,0.5625,14.0,32,0.4375,-12.0,2.0,-6.0,0.5625
Always Retreat,noglass,32,6,0,0,32,0.0,0,0,32,0.0,32,32,32,1.0,32,32,32,1.0,30,30,32,0.9375,30,30,32,0.9375,0,0,32,0.0,0,0,32,0.0,30,30,1.0,0,2,0.0,0.0,32,0.0,32.0,32,1.0,-30.0,2.0,-15.0,0.0
Risk->Retreat,noglass,32,6,22,22,32,0.6875,0,0,32,0.0,10,10,32,0.3125,9,9,32,0.28125,8,8,32,0.25,8,8,32,0.25,0,0,32,0.0,1,1,32,0.03125,8,30,0.26666666666666666,1,2,0.5,22.0,32,0.6875,10.0,32,0.3125,-8.0,2.0,-4.0,0.6875
Risk->Detour,noglass,32,6,29,29,32,0.90625,0,0,32,0.0,3,3,32,0.09375,9,9,32,0.28125,8,8,32,0.25,2,2,32,0.0625,1,1,32,0.03125,1,1,32,0.03125,8,30,0.26666666666666666,1,2,0.5,29.0,32,0.90625,3.0,32,0.09375,-1.0,2.0,-0.5,0.90625
Risk->BestFixed,noglass,32,6,29,29,32,0.90625,0,0,32,0.0,3,3,32,0.09375,9,9,32,0.28125,8,8,32,0.25,2,2,32,0.0625,1,1,32,0.03125,1,1,32,0.03125,8,30,0.26666666666666666,1,2,0.5,29.0,32,0.90625,3.0,32,0.09375,-1.0,2.0,-0.5,0.90625
Risk+TwoStage,noglass,32,6,29,29,32,0.90625,0,0,32,0.0,3,3,32,0.09375,9,9,32,0.28125,8,8,32,0.25,2,2,32,0.0625,1,1,32,0.03125,1,1,32,0.03125,8,30,0.26666666666666666,1,2,0.5,29.0,32,0.90625,3.0,32,0.09375,-1.0,2.0,-0.5,0.90625
DirectChoice,noglass,32,6,16,16,32,0.5,0,0,32,0.0,16,16,32,0.5,19,19,32,0.59375,18,18,32,0.5625,15,15,32,0.46875,1,1,32,0.03125,1,1,32,0.03125,18,30,0.6,1,2,0.5,16.0,32,0.5,16.0,32,0.5,-14.0,2.0,-7.0,0.5
DirectQ,noglass,32,6,25,25,32,0.78125,0,0,32,0.0,7,7,32,0.21875,17,17,32,0.53125,15,15,32,0.46875,7,7,32,0.21875,2,2,32,0.0625,0,0,32,0.0,15,30,0.5,0,2,0.0,25.0,32,0.78125,7.0,32,0.21875,-5.0,2.0,-2.5,0.78125
DirectQ-lambda2,noglass,32,6,25,25,32,0.78125,0,0,32,0.0,7,7,32,0.21875,14,14,32,0.4375,12,12,32,0.375,7,7,32,0.21875,2,2,32,0.0625,0,0,32,0.0,12,30,0.4,0,2,0.0,25.0,32,0.78125,7.0,32,0.21875,-5.0,2.0,-2.5,0.78125
DirectQ-lambda3,noglass,32,6,25,25,32,0.78125,0,0,32,0.0,7,7,32,0.21875,14,14,32,0.4375,12,12,32,0.375,7,7,32,0.21875,2,2,32,0.0625,0,0,32,0.0,12,30,0.4,0,2,0.0,25.0,32,0.78125,7.0,32,0.21875,-5.0,2.0,-2.5,0.78125
DirectQ-lambda5,noglass,32,6,25,25,32,0.78125,0,0,32,0.0,7,7,32,0.21875,14,14,32,0.4375,12,12,32,0.375,7,7,32,0.21875,2,2,32,0.0625,0,0,32,0.0,12,30,0.4,0,2,0.0,25.0,32,0.78125,7.0,32,0.21875,-5.0,2.0,-2.5,0.78125
DirectQ-lambda8,noglass,32,6,25,25,32,0.78125,0,0,32,0.0,7,7,32,0.21875,14,14,32,0.4375,12,12,32,0.375,7,7,32,0.21875,2,2,32,0.0625,0,0,32,0.0,12,30,0.4,0,2,0.0,25.0,32,0.78125,7.0,32,0.21875,-5.0,2.0,-2.5,0.78125
PairwiseAdvantage,noglass,32,6,25,25,32,0.78125,0,0,32,0.0,7,7,32,0.21875,17,17,32,0.53125,15,15,32,0.46875,7,7,32,0.21875,2,2,32,0.0625,0,0,32,0.0,15,30,0.5,0,2,0.0,25.0,32,0.78125,7.0,32,0.21875,-5.0,2.0,-2.5,0.78125
OutcomeRouter,noglass,32,6,27,27,32,0.84375,0,0,32,0.0,5,5,32,0.15625,15,15,32,0.46875,13,13,32,0.40625,5,5,32,0.15625,2,2,32,0.0625,0,0,32,0.0,13,30,0.43333333333333335,0,2,0.0,27.0,32,0.84375,5.0,32,0.15625,-3.0,2.0,-1.5,0.84375
OutcomeRouter-hidden-only,noglass,32,6,27,27,32,0.84375,0,0,32,0.0,5,5,32,0.15625,12,12,32,0.375,11,11,32,0.34375,4,4,32,0.125,1,1,32,0.03125,1,1,32,0.03125,11,30,0.36666666666666664,1,2,0.5,27.0,32,0.84375,5.0,32,0.15625,-3.0,2.0,-1.5,0.84375
OutcomeRouter-state-action-only,noglass,32,6,21,21,32,0.65625,0,0,32,0.0,11,11,32,0.34375,26,26,32,0.8125,24,24,32,0.75,11,11,32,0.34375,2,2,32,0.0625,0,0,32,0.0,24,30,0.8,0,2,0.0,21.0,32,0.65625,11.0,32,0.34375,-9.0,2.0,-4.5,0.65625
GeometryOracle-condition,noglass,32,6,30,30,32,0.9375,0,0,32,0.0,2,2,32,0.0625,0,0,32,0.0,0,0,32,0.0,0,0,32,0.0,0,0,32,0.0,2,2,32,0.0625,0,30,0.0,2,2,1.0,30.0,32,0.9375,2.0,32,0.0625,0.0,2.0,0.0,0.9375
Base,offpath,32,6,30,30,32,0.9375,0,0,32,0.0,2,2,32,0.0625,0,0,32,0.0,0,0,32,0.0,0,0,32,0.0,0,0,32,0.0,1,1,32,0.03125,0,30,0.0,1,1,1.0,30.0,32,0.9375,1.0,32,0.03125,0.0,1.0,0.0,0.9375
Always Detour,offpath,32,6,27,27,32,0.84375,0,0,32,0.0,5,5,32,0.15625,32,32,32,1.0,30,30,32,0.9375,4,4,32,0.125,1,1,32,0.03125,0,0,32,0.0,30,30,1.0,0,1,0.0,27.0,32,0.84375,4.0,32,0.125,-3.0,1.0,-3.0,0.84375
Always Retreat,offpath,32,6,0,0,32,0.0,1,1,32,0.03125,31,31,32,0.96875,32,32,32,1.0,30,30,32,0.9375,30,30,32,0.9375,0,0,32,0.0,0,0,32,0.0,30,30,1.0,0,1,0.0,-1.0,32,-0.03125,32.0,32,1.0,-31.0,1.0,-31.0,0.0
Risk->Retreat,offpath,32,6,21,21,32,0.65625,1,1,32,0.03125,10,10,32,0.3125,10,10,32,0.3125,9,9,32,0.28125,9,9,32,0.28125,0,0,32,0.0,1,1,32,0.03125,9,30,0.3,1,1,1.0,20.0,32,0.625,11.0,32,0.34375,-10.0,1.0,-10.0,0.65625
Risk->Detour,offpath,32,6,29,29,32,0.90625,0,0,32,0.0,3,3,32,0.09375,10,10,32,0.3125,9,9,32,0.28125,1,1,32,0.03125,0,0,32,0.0,1,1,32,0.03125,9,30,0.3,1,1,1.0,29.0,32,0.90625,2.0,32,0.0625,-1.0,1.0,-1.0,0.90625
Risk->BestFixed,offpath,32,6,29,29,32,0.90625,0,0,32,0.0,3,3,32,0.09375,10,10,32,0.3125,9,9,32,0.28125,1,1,32,0.03125,0,0,32,0.0,1,1,32,0.03125,9,30,0.3,1,1,1.0,29.0,32,0.90625,2.0,32,0.0625,-1.0,1.0,-1.0,0.90625
Risk+TwoStage,offpath,32,6,26,26,32,0.8125,0,0,32,0.0,6,6,32,0.1875,10,10,32,0.3125,9,9,32,0.28125,4,4,32,0.125,0,0,32,0.0,1,1,32,0.03125,9,30,0.3,1,1,1.0,26.0,32,0.8125,5.0,32,0.15625,-4.0,1.0,-4.0,0.8125
DirectChoice,offpath,32,6,25,25,32,0.78125,0,0,32,0.0,7,7,32,0.21875,16,16,32,0.5,15,15,32,0.46875,5,5,32,0.15625,0,0,32,0.0,1,1,32,0.03125,15,30,0.5,1,1,1.0,25.0,32,0.78125,6.0,32,0.1875,-5.0,1.0,-5.0,0.78125
DirectQ,offpath,32,6,25,25,32,0.78125,0,0,32,0.0,7,7,32,0.21875,11,11,32,0.34375,11,11,32,0.34375,5,5,32,0.15625,0,0,32,0.0,1,1,32,0.03125,11,30,0.36666666666666664,1,1,1.0,25.0,32,0.78125,6.0,32,0.1875,-5.0,1.0,-5.0,0.78125
DirectQ-lambda2,offpath,32,6,25,25,32,0.78125,0,0,32,0.0,7,7,32,0.21875,11,11,32,0.34375,11,11,32,0.34375,5,5,32,0.15625,0,0,32,0.0,1,1,32,0.03125,11,30,0.36666666666666664,1,1,1.0,25.0,32,0.78125,6.0,32,0.1875,-5.0,1.0,-5.0,0.78125
DirectQ-lambda3,offpath,32,6,25,25,32,0.78125,0,0,32,0.0,7,7,32,0.21875,10,10,32,0.3125,10,10,32,0.3125,5,5,32,0.15625,0,0,32,0.0,1,1,32,0.03125,10,30,0.3333333333333333,1,1,1.0,25.0,32,0.78125,6.0,32,0.1875,-5.0,1.0,-5.0,0.78125
DirectQ-lambda5,offpath,32,6,24,24,32,0.75,1,1,32,0.03125,7,7,32,0.21875,11,11,32,0.34375,11,11,32,0.34375,6,6,32,0.1875,0,0,32,0.0,1,1,32,0.03125,11,30,0.36666666666666664,1,1,1.0,23.0,32,0.71875,8.0,32,0.25,-7.0,1.0,-7.0,0.75
DirectQ-lambda8,offpath,32,6,25,25,32,0.78125,1,1,32,0.03125,6,6,32,0.1875,10,10,32,0.3125,10,10,32,0.3125,5,5,32,0.15625,0,0,32,0.0,1,1,32,0.03125,10,30,0.3333333333333333,1,1,1.0,24.0,32,0.75,7.0,32,0.21875,-6.0,1.0,-6.0,0.78125
PairwiseAdvantage,offpath,32,6,25,25,32,0.78125,0,0,32,0.0,7,7,32,0.21875,11,11,32,0.34375,11,11,32,0.34375,5,5,32,0.15625,0,0,32,0.0,1,1,32,0.03125,11,30,0.36666666666666664,1,1,1.0,25.0,32,0.78125,6.0,32,0.1875,-5.0,1.0,-5.0,0.78125
OutcomeRouter,offpath,32,6,27,27,32,0.84375,0,0,32,0.0,5,5,32,0.15625,15,15,32,0.46875,15,15,32,0.46875,3,3,32,0.09375,0,0,32,0.0,1,1,32,0.03125,15,30,0.5,1,1,1.0,27.0,32,0.84375,4.0,32,0.125,-3.0,1.0,-3.0,0.84375
OutcomeRouter-hidden-only,offpath,32,6,28,28,32,0.875,0,0,32,0.0,4,4,32,0.125,12,12,32,0.375,11,11,32,0.34375,2,2,32,0.0625,0,0,32,0.0,1,1,32,0.03125,11,30,0.36666666666666664,1,1,1.0,28.0,32,0.875,3.0,32,0.09375,-2.0,1.0,-2.0,0.875
OutcomeRouter-state-action-only,offpath,32,6,24,24,32,0.75,0,0,32,0.0,8,8,32,0.25,20,20,32,0.625,20,20,32,0.625,6,6,32,0.1875,0,0,32,0.0,1,1,32,0.03125,20,30,0.6666666666666666,1,1,1.0,24.0,32,0.75,7.0,32,0.21875,-6.0,1.0,-6.0,0.75
GeometryOracle-condition,offpath,32,6,30,30,32,0.9375,0,0,32,0.0,2,2,32,0.0625,0,0,32,0.0,0,0,32,0.0,0,0,32,0.0,0,0,32,0.0,1,1,32,0.03125,0,30,0.0,1,1,1.0,30.0,32,0.9375,1.0,32,0.03125,0.0,1.0,0.0,0.9375
