method,horizon,n_decisions,n_sources,task_success_count,task_success_numerator,task_success_denominator,task_success_rate,catastrophe_count,catastrophe_numerator,catastrophe_denominator,catastrophe_rate,safe_noncompletion_count,safe_noncompletion_numerator,safe_noncompletion_denominator,safe_noncompletion_rate,intervention_count,intervention_numerator,intervention_denominator,intervention_rate,unnecessary_intervention_count,unnecessary_intervention_numerator,unnecessary_intervention_denominator,unnecessary_intervention_rate,harmful_intervention_count,harmful_intervention_numerator,harmful_intervention_denominator,harmful_intervention_rate,beneficial_intervention_count,beneficial_intervention_numerator,beneficial_intervention_denominator,beneficial_intervention_rate,missed_beneficial_intervention_count,missed_beneficial_intervention_numerator,missed_beneficial_intervention_denominator,missed_beneficial_intervention_rate,unnecessary_given_base_success_count,unnecessary_given_base_success_denominator,unnecessary_given_base_success_rate,missed_given_beneficial_opportunity_count,missed_given_beneficial_opportunity_denominator,missed_given_beneficial_opportunity_rate,utility_sum,utility_denominator,mean_utility,oracle_regret_sum,oracle_regret_denominator,mean_oracle_regret,value_gain_over_base_sum,oracle_value_available_sum,oracle_value_recovered,success_rate
DirectQ-lambda3,10,26,8,12,12,26,0.46153846153846156,5,5,26,0.19230769230769232,9,9,26,0.34615384615384615,14,14,26,0.5384615384615384,6,6,26,0.23076923076923078,3,3,26,0.11538461538461539,5,5,26,0.19230769230769232,3,3,26,0.11538461538461539,6,15,0.4,3,10,0.3,7.0,26,0.2692307692307692,9.0,26,0.34615384615384615,2.0,11.0,0.18181818181818182,0.46153846153846156
DirectQ-lambda5,10,26,8,12,12,26,0.46153846153846156,3,3,26,0.11538461538461539,11,11,26,0.4230769230769231,14,14,26,0.5384615384615384,6,6,26,0.23076923076923078,3,3,26,0.11538461538461539,7,7,26,0.2692307692307692,3,3,26,0.11538461538461539,6,15,0.4,3,10,0.3,9.0,26,0.34615384615384615,7.0,26,0.2692307692307692,4.0,11.0,0.36363636363636365,0.46153846153846156
DirectQ-lambda8,10,26,8,12,12,26,0.46153846153846156,3,3,26,0.11538461538461539,11,11,26,0.4230769230769231,14,14,26,0.5384615384615384,6,6,26,0.23076923076923078,3,3,26,0.11538461538461539,7,7,26,0.2692307692307692,3,3,26,0.11538461538461539,6,15,0.4,3,10,0.3,9.0,26,0.34615384615384615,7.0,26,0.2692307692307692,4.0,11.0,0.36363636363636365,0.46153846153846156
PairwiseAdvantage,10,26,8,12,12,26,0.46153846153846156,8,8,26,0.3076923076923077,6,6,26,0.23076923076923078,14,14,26,0.5384615384615384,6,6,26,0.23076923076923078,3,3,26,0.11538461538461539,2,2,26,0.07692307692307693,3,3,26,0.11538461538461539,6,15,0.4,3,10,0.3,4.0,26,0.15384615384615385,12.0,26,0.46153846153846156,-1.0,11.0,-0.09090909090909091,0.46153846153846156
OutcomeRouter,10,26,8,14,14,26,0.5384615384615384,8,8,26,0.3076923076923077,4,4,26,0.15384615384615385,15,15,26,0.5769230769230769,7,7,26,0.2692307692307692,1,1,26,0.038461538461538464,2,2,26,0.07692307692307693,3,3,26,0.11538461538461539,7,15,0.4666666666666667,3,10,0.3,6.0,26,0.23076923076923078,10.0,26,0.38461538461538464,1.0,11.0,0.09090909090909091,0.5384615384615384
OutcomeRouter-hidden-only,10,26,8,16,16,26,0.6153846153846154,8,8,26,0.3076923076923077,2,2,26,0.07692307692307693,12,12,26,0.46153846153846156,4,4,26,0.15384615384615385,0,0,26,0.0,2,2,26,0.07692307692307693,3,3,26,0.11538461538461539,4,15,0.26666666666666666,3,10,0.3,8.0,26,0.3076923076923077,8.0,26,0.3076923076923077,3.0,11.0,0.2727272727272727,0.6153846153846154
OutcomeRouter-state-action-only,10,26,8,11,11,26,0.4230769230769231,6,6,26,0.23076923076923078,9,9,26,0.34615384615384615,24,24,26,0.9230769230769231,14,14,26,0.5384615384615384,5,5,26,0.19230769230769232,4,4,26,0.15384615384615385,1,1,26,0.038461538461538464,14,15,0.9333333333333333,1,10,0.1,5.0,26,0.19230769230769232,11.0,26,0.4230769230769231,0.0,11.0,0.0,0.4230769230769231
GeometryOracle-condition,10,26,8,16,16,26,0.6153846153846154,6,6,26,0.23076923076923078,4,4,26,0.15384615384615385,10,10,26,0.38461538461538464,0,0,26,0.0,0,0,26,0.0,4,4,26,0.15384615384615385,1,1,26,0.038461538461538464,0,15,0.0,1,10,0.1,10.0,26,0.38461538461538464,6.0,26,0.23076923076923078,5.0,11.0,0.45454545454545453,0.6153846153846154
Base,20,26,8,15,15,26,0.5769230769230769,9,9,26,0.34615384615384615,2,2,26,0.07692307692307693,0,0,26,0.0,0,0,26,0.0,0,0,26,0.0,0,0,26,0.0,10,10,26,0.38461538461538464,0,15,0.0,10,10,1.0,6.0,26,0.23076923076923078,12.0,26,0.46153846153846156,0.0,12.0,0.0,0.5769230769230769
Always Detour,20,26,8,13,13,26,0.5,3,3,26,0.11538461538461539,10,10,26,0.38461538461538464,26,26,26,1.0,15,15,26,0.5769230769230769,6,6,26,0.23076923076923078,8,8,26,0.3076923076923077,0,0,26,0.0,15,15,1.0,0,10,0.0,10.0,26,0.38461538461538464,8.0,26,0.3076923076923077,4.0,12.0,0.3333333333333333,0.5
Always Retreat,20,26,8,0,0,26,0.0,2,2,26,0.07692307692307693,24,24,26,0.9230769230769231,26,26,26,1.0,15,15,26,0.5769230769230769,16,16,26,0.6153846153846154,8,8,26,0.3076923076923077,0,0,26,0.0,15,15,1.0,0,10,0.0,-2.0,26,-0.07692307692307693,20.0,26,0.7692307692307693,-8.0,12.0,-0.6666666666666666,0.0
Risk->Retreat,20,26,8,10,10,26,0.38461538461538464,5,5,26,0.19230769230769232,11,11,26,0.4230769230769231,12,12,26,0.46153846153846156,5,5,26,0.19230769230769232,6,6,26,0.23076923076923078,5,5,26,0.19230769230769232,4,4,26,0.15384615384615385,5,15,0.3333333333333333,4,10,0.4,5.0,26,0.19230769230769232,13.0,26,0.5,-1.0,12.0,-0.08333333333333333,0.38461538461538464
Risk->Detour,20,26,8,16,16,26,0.6153846153846154,6,6,26,0.23076923076923078,4,4,26,0.15384615384615385,12,12,26,0.46153846153846156,5,5,26,0.19230769230769232,2,2,26,0.07692307692307693,4,4,26,0.15384615384615385,4,4,26,0.15384615384615385,5,15,0.3333333333333333,4,10,0.4,10.0,26,0.38461538461538464,8.0,26,0.3076923076923077,4.0,12.0,0.3333333333333333,0.6153846153846154
Risk->BestFixed,20,26,8,16,16,26,0.6153846153846154,6,6,26,0.23076923076923078,4,4,26,0.15384615384615385,12,12,26,0.46153846153846156,5,5,26,0.19230769230769232,2,2,26,0.07692307692307693,4,4,26,0.15384615384615385,4,4,26,0.15384615384615385,5,15,0.3333333333333333,4,10,0.4,10.0,26,0.38461538461538464,8.0,26,0.3076923076923077,4.0,12.0,0.3333333333333333,0.6153846153846154
Risk+TwoStage,20,26,8,15,15,26,0.5769230769230769,6,6,26,0.23076923076923078,5,5,26,0.19230769230769232,12,12,26,0.46153846153846156,5,5,26,0.19230769230769232,3,3,26,0.11538461538461539,4,4,26,0.15384615384615385,4,4,26,0.15384615384615385,5,15,0.3333333333333333,4,10,0.4,9.0,26,0.34615384615384615,9.0,26,0.34615384615384615,3.0,12.0,0.25,0.5769230769230769
DirectChoice,20,26,8,14,14,26,0.5384615384615384,4,4,26,0.15384615384615385,8,8,26,0.3076923076923077,17,17,26,0.6538461538461539,9,9,26,0.34615384615384615,4,4,26,0.15384615384615385,6,6,26,0.23076923076923078,3,3,26,0.11538461538461539,9,15,0.6,3,10,0.3,10.0,26,0.38461538461538464,8.0,26,0.3076923076923077,4.0,12.0,0.3333333333333333,0.5384615384615384
DirectQ,20,26,8,16,16,26,0.6153846153846154,7,7,26,0.2692307692307692,3,3,26,0.11538461538461539,13,13,26,0.5,6,6,26,0.23076923076923078,3,3,26,0.11538461538461539,4,4,26,0.15384615384615385,4,4,26,0.15384615384615385,6,15,0.4,4,10,0.4,9.0,26,0.34615384615384615,9.0,26,0.34615384615384615,3.0,12.0,0.25,0.6153846153846154
DirectQ-lambda2,20,26,8,15,15,26,0.5769230769230769,6,6,26,0.23076923076923078,5,5,26,0.19230769230769232,12,12,26,0.46153846153846156,5,5,26,0.19230769230769232,4,4,26,0.15384615384615385,5,5,26,0.19230769230769232,4,4,26,0.15384615384615385,5,15,0.3333333333333333,4,10,0.4,9.0,26,0.34615384615384615,9.0,26,0.34615384615384615,3.0,12.0,0.25,0.5769230769230769
DirectQ-lambda3,20,26,8,14,14,26,0.5384615384615384,6,6,26,0.23076923076923078,6,6,26,0.23076923076923078,11,11,26,0.4230769230769231,4,4,26,0.15384615384615385,4,4,26,0.15384615384615385,5,5,26,0.19230769230769232,4,4,26,0.15384615384615385,4,15,0.26666666666666666,4,10,0.4,8.0,26,0.3076923076923077,10.0,26,0.38461538461538464,2.0,12.0,0.16666666666666666,0.5384615384615384
DirectQ-lambda5,20,26,8,14,14,26,0.5384615384615384,5,5,26,0.19230769230769232,7,7,26,0.2692307692307692,11,11,26,0.4230769230769231,4,4,26,0.15384615384615385,4,4,26,0.15384615384615385,6,6,26,0.23076923076923078,4,4,26,0.15384615384615385,4,15,0.26666666666666666,4,10,0.4,9.0,26,0.34615384615384615,9.0,26,0.34615384615384615,3.0,12.0,0.25,0.5384615384615384
DirectQ-lambda8,20,26,8,14,14,26,0.5384615384615384,5,5,26,0.19230769230769232,7,7,26,0.2692307692307692,11,11,26,0.4230769230769231,4,4,26,0.15384615384615385,4,4,26,0.15384615384615385,6,6,26,0.23076923076923078,4,4,26,0.15384615384615385,4,15,0.26666666666666666,4,10,0.4,9.0,26,0.34615384615384615,9.0,26,0.34615384615384615,3.0,12.0,0.25,0.5384615384615384
PairwiseAdvantage,20,26,8,16,16,26,0.6153846153846154,7,7,26,0.2692307692307692,3,3,26,0.11538461538461539,13,13,26,0.5,6,6,26,0.23076923076923078,3,3,26,0.11538461538461539,4,4,26,0.15384615384615385,4,4,26,0.15384615384615385,6,15,0.4,4,10,0.4,9.0,26,0.34615384615384615,9.0,26,0.34615384615384615,3.0,12.0,0.25,0.6153846153846154
OutcomeRouter,20,26,8,15,15,26,0.5769230769230769,4,4,26,0.15384615384615385,7,7,26,0.2692307692307692,19,19,26,0.7307692307692307,9,9,26,0.34615384615384615,4,4,26,0.15384615384615385,7,7,26,0.2692307692307692,1,1,26,0.038461538461538464,9,15,0.6,1,10,0.1,11.0,26,0.4230769230769231,7.0,26,0.2692307692307692,5.0,12.0,0.4166666666666667,0.5769230769230769
OutcomeRouter-hidden-only,20,26,8,14,14,26,0.5384615384615384,3,3,26,0.11538461538461539,9,9,26,0.34615384615384615,18,18,26,0.6923076923076923,8,8,26,0.3076923076923077,4,4,26,0.15384615384615385,7,7,26,0.2692307692307692,1,1,26,0.038461538461538464,8,15,0.5333333333333333,1,10,0.1,11.0,26,0.4230769230769231,7.0,26,0.2692307692307692,5.0,12.0,0.4166666666666667,0.5384615384615384
OutcomeRouter-state-action-only,20,26,8,14,14,26,0.5384615384615384,6,6,26,0.23076923076923078,6,6,26,0.23076923076923078,18,18,26,0.6923076923076923,10,10,26,0.38461538461538464,5,5,26,0.19230769230769232,5,5,26,0.19230769230769232,3,3,26,0.11538461538461539,10,15,0.6666666666666666,3,10,0.3,8.0,26,0.3076923076923077,10.0,26,0.38461538461538464,2.0,12.0,0.16666666666666666,0.5384615384615384
GeometryOracle-condition,20,26,8,17,17,26,0.6538461538461539,3,3,26,0.11538461538461539,6,6,26,0.23076923076923078,10,10,26,0.38461538461538464,0,0,26,0.0,1,1,26,0.038461538461538464,7,7,26,0.2692307692307692,1,1,26,0.038461538461538464,0,15,0.0,1,10,0.1,14.0,26,0.5384615384615384,4.0,26,0.15384615384615385,8.0,12.0,0.6666666666666666,0.6538461538461539
Base,30,20,7,12,12,20,0.6,7,7,20,0.35,1,1,20,0.05,0,0,20,0.0,0,0,20,0.0,0,0,20,0.0,0,0,20,0.0,6,6,20,0.3,0,12,0.0,6,6,1.0,5.0,20,0.25,8.0,20,0.4,0.0,8.0,0.0,0.6
Always Detour,30,20,7,10,10,20,0.5,2,2,20,0.1,8,8,20,0.4,20,20,20,1.0,12,12,20,0.6,4,4,20,0.2,5,5,20,0.25,0,0,20,0.0,12,12,1.0,0,6,0.0,8.0,20,0.4,5.0,20,0.25,3.0,8.0,0.375,0.5
Always Retreat,30,20,7,0,0,20,0.0,2,2,20,0.1,18,18,20,0.9,20,20,20,1.0,12,12,20,0.6,12,12,20,0.6,5,5,20,0.25,0,0,20,0.0,12,12,1.0,0,6,0.0,-2.0,20,-0.1,15.0,20,0.75,-7.0,8.0,-0.875,0.0
Risk->Retreat,30,20,7,11,11,20,0.55,7,7,20,0.35,2,2,20,0.1,3,3,20,0.15,1,1,20,0.05,1,1,20,0.05,0,0,20,0.0,5,5,20,0.25,1,12,0.08333333333333333,5,6,0.8333333333333334,4.0,20,0.2,9.0,20,0.45,-1.0,8.0,-0.125,0.55
Risk->Detour,30,20,7,13,13,20,0.65,6,6,20,0.3,1,1,20,0.05,3,3,20,0.15,1,1,20,0.05,0,0,20,0.0,1,1,20,0.05,5,5,20,0.25,1,12,0.08333333333333333,5,6,0.8333333333333334,7.0,20,0.35,6.0,20,0.3,2.0,8.0,0.25,0.65
Risk->BestFixed,30,20,7,13,13,20,0.65,6,6,20,0.3,1,1,20,0.05,3,3,20,0.15,1,1,20,0.05,0,0,20,0.0,1,1,20,0.05,5,5,20,0.25,1,12,0.08333333333333333,5,6,0.8333333333333334,7.0,20,0.35,6.0,20,0.3,2.0,8.0,0.25,0.65
Risk+TwoStage,30,20,7,13,13,20,0.65,6,6,20,0.3,1,1,20,0.05,3,3,20,0.15,1,1,20,0.05,0,0,20,0.0,1,1,20,0.05,5,5,20,0.25,1,12,0.08333333333333333,5,6,0.8333333333333334,7.0,20,0.35,6.0,20,0.3,2.0,8.0,0.25,0.65
DirectChoice,30,20,7,13,13,20,0.65,4,4,20,0.2,3,3,20,0.15,9,9,20,0.45,4,4,20,0.2,1,1,20,0.05,3,3,20,0.15,3,3,20,0.15,4,12,0.3333333333333333,3,6,0.5,9.0,20,0.45,4.0,20,0.2,4.0,8.0,0.5,0.65
DirectQ,30,20,7,13,13,20,0.65,5,5,20,0.25,2,2,20,0.1,7,7,20,0.35,4,4,20,0.2,0,0,20,0.0,2,2,20,0.1,4,4,20,0.2,4,12,0.3333333333333333,4,6,0.6666666666666666,8.0,20,0.4,5.0,20,0.25,3.0,8.0,0.375,0.65
DirectQ-lambda2,30,20,7,13,13,20,0.65,5,5,20,0.25,2,2,20,0.1,6,6,20,0.3,3,3,20,0.15,0,0,20,0.0,2,2,20,0.1,4,4,20,0.2,3,12,0.25,4,6,0.6666666666666666,8.0,20,0.4,5.0,20,0.25,3.0,8.0,0.375,0.65
DirectQ-lambda3,30,20,7,13,13,20,0.65,6,6,20,0.3,1,1,20,0.05,5,5,20,0.25,3,3,20,0.15,0,0,20,0.0,1,1,20,0.05,5,5,20,0.25,3,12,0.25,5,6,0.8333333333333334,7.0,20,0.35,6.0,20,0.3,2.0,8.0,0.25,0.65
DirectQ-lambda5,30,20,7,13,13,20,0.65,6,6,20,0.3,1,1,20,0.05,5,5,20,0.25,3,3,20,0.15,0,0,20,0.0,1,1,20,0.05,5,5,20,0.25,3,12,0.25,5,6,0.8333333333333334,7.0,20,0.35,6.0,20,0.3,2.0,8.0,0.25,0.65
DirectQ-lambda8,30,20,7,13,13,20,0.65,6,6,20,0.3,1,1,20,0.05,5,5,20,0.25,3,3,20,0.15,0,0,20,0.0,1,1,20,0.05,5,5,20,0.25,3,12,0.25,5,6,0.8333333333333334,7.0,20,0.35,6.0,20,0.3,2.0,8.0,0.25,0.65
PairwiseAdvantage,30,20,7,13,13,20,0.65,5,5,20,0.25,2,2,20,0.1,7,7,20,0.35,4,4,20,0.2,0,0,20,0.0,2,2,20,0.1,4,4,20,0.2,4,12,0.3333333333333333,4,6,0.6666666666666666,8.0,20,0.4,5.0,20,0.25,3.0,8.0,0.375,0.65
OutcomeRouter,30,20,7,13,13,20,0.65,5,5,20,0.25,2,2,20,0.1,9,9,20,0.45,4,4,20,0.2,0,0,20,0.0,2,2,20,0.1,3,3,20,0.15,4,12,0.3333333333333333,3,6,0.5,8.0,20,0.4,5.0,20,0.25,3.0,8.0,0.375,0.65
OutcomeRouter-hidden-only,30,20,7,13,13,20,0.65,6,6,20,0.3,1,1,20,0.05,6,6,20,0.3,3,3,20,0.15,0,0,20,0.0,1,1,20,0.05,5,5,20,0.25,3,12,0.25,5,6,0.8333333333333334,7.0,20,0.35,6.0,20,0.3,2.0,8.0,0.25,0.65
OutcomeRouter-state-action-only,30,20,7,11,11,20,0.55,5,5,20,0.25,4,4,20,0.2,12,12,20,0.6,7,7,20,0.35,2,2,20,0.1,2,2,20,0.1,3,3,20,0.15,7,12,0.5833333333333334,3,6,0.5,6.0,20,0.3,7.0,20,0.35,1.0,8.0,0.125,0.55
GeometryOracle-condition,30,20,7,14,14,20,0.7,2,2,20,0.1,4,4,20,0.2,8,8,20,0.4,0,0,20,0.0,0,0,20,0.0,5,5,20,0.25,0,0,20,0.0,0,12,0.0,0,6,0.0,12.0,20,0.6,1.0,20,0.05,7.0,8.0,0.875,0.7
Base,40,8,3,4,4,8,0.5,4,4,8,0.5,0,0,8,0.0,0,0,8,0.0,0,0,8,0.0,0,0,8,0.0,0,0,8,0.0,3,3,8,0.375,0,4,0.0,3,3,1.0,0.0,8,0.0,3.0,8,0.375,0.0,3.0,0.0,0.5
Always Detour,40,8,3,2,2,8,0.25,1,1,8,0.125,5,5,8,0.625,8,8,8,1.0,4,4,8,0.5,2,2,8,0.25,3,3,8,0.375,0,0,8,0.0,4,4,1.0,0,3,0.0,1.0,8,0.125,2.0,8,0.25,1.0,3.0,0.3333333333333333,0.25
Always Retreat,40,8,3,0,0,8,0.0,2,2,8,0.25,6,6,8,0.75,8,8,8,1.0,4,4,8,0.5,4,4,8,0.5,2,2,8,0.25,0,0,8,0.0,4,4,1.0,0,3,0.0,-2.0,8,-0.25,5.0,8,0.625,-2.0,3.0,-0.6666666666666666,0.0
Risk->Retreat,40,8,3,4,4,8,0.5,4,4,8,0.5,0,0,8,0.0,2,2,8,0.25,0,0,8,0.0,0,0,8,0.0,0,0,8,0.0,2,2,8,0.25,0,4,0.0,2,3,0.6666666666666666,0.0,8,0.0,3.0,8,0.375,0.0,3.0,0.0,0.5
Risk->Detour,40,8,3,4,4,8,0.5,3,3,8,0.375,1,1,8,0.125,2,2,8,0.25,0,0,8,0.0,0,0,8,0.0,1,1,8,0.125,2,2,8,0.25,0,4,0.0,2,3,0.6666666666666666,1.0,8,0.125,2.0,8,0.25,1.0,3.0,0.3333333333333333,0.5
Risk->BestFixed,40,8,3,4,4,8,0.5,3,3,8,0.375,1,1,8,0.125,2,2,8,0.25,0,0,8,0.0,0,0,8,0.0,1,1,8,0.125,2,2,8,0.25,0,4,0.0,2,3,0.6666666666666666,1.0,8,0.125,2.0,8,0.25,1.0,3.0,0.3333333333333333,0.5
Risk+TwoStage,40,8,3,4,4,8,0.5,3,3,8,0.375,1,1,8,0.125,2,2,8,0.25,0,0,8,0.0,0,0,8,0.0,1,1,8,0.125,2,2,8,0.25,0,4,0.0,2,3,0.6666666666666666,1.0,8,0.125,2.0,8,0.25,1.0,3.0,0.3333333333333333,0.5
DirectChoice,40,8,3,2,2,8,0.25,2,2,8,0.25,4,4,8,0.5,6,6,8,0.75,3,3,8,0.375,2,2,8,0.25,2,2,8,0.25,1,1,8,0.125,3,4,0.75,1,3,0.3333333333333333,0.0,8,0.0,3.0,8,0.375,0.0,3.0,0.0,0.25
DirectQ,40,8,3,2,2,8,0.25,1,1,8,0.125,5,5,8,0.625,8,8,8,1.0,4,4,8,0.5,2,2,8,0.25,3,3,8,0.375,0,0,8,0.0,4,4,1.0,0,3,0.0,1.0,8,0.125,2.0,8,0.25,1.0,3.0,0.3333333333333333,0.25
DirectQ-lambda2,40,8,3,2,2,8,0.25,1,1,8,0.125,5,5,8,0.625,8,8,8,1.0,4,4,8,0.5,2,2,8,0.25,3,3,8,0.375,0,0,8,0.0,4,4,1.0,0,3,0.0,1.0,8,0.125,2.0,8,0.25,1.0,3.0,0.3333333333333333,0.25
DirectQ-lambda3,40,8,3,2,2,8,0.25,1,1,8,0.125,5,5,8,0.625,8,8,8,1.0,4,4,8,0.5,2,2,8,0.25,3,3,8,0.375,0,0,8,0.0,4,4,1.0,0,3,0.0,1.0,8,0.125,2.0,8,0.25,1.0,3.0,0.3333333333333333,0.25
DirectQ-lambda5,40,8,3,2,2,8,0.25,1,1,8,0.125,5,5,8,0.625,8,8,8,1.0,4,4,8,0.5,2,2,8,0.25,3,3,8,0.375,0,0,8,0.0,4,4,1.0,0,3,0.0,1.0,8,0.125,2.0,8,0.25,1.0,3.0,0.3333333333333333,0.25
DirectQ-lambda8,40,8,3,2,2,8,0.25,1,1,8,0.125,5,5,8,0.625,8,8,8,1.0,4,4,8,0.5,2,2,8,0.25,3,3,8,0.375,0,0,8,0.0,4,4,1.0,0,3,0.0,1.0,8,0.125,2.0,8,0.25,1.0,3.0,0.3333333333333333,0.25
PairwiseAdvantage,40,8,3,2,2,8,0.25,1,1,8,0.125,5,5,8,0.625,8,8,8,1.0,4,4,8,0.5,2,2,8,0.25,3,3,8,0.375,0,0,8,0.0,4,4,1.0,0,3,0.0,1.0,8,0.125,2.0,8,0.25,1.0,3.0,0.3333333333333333,0.25
OutcomeRouter,40,8,3,3,3,8,0.375,2,2,8,0.25,3,3,8,0.375,5,5,8,0.625,2,2,8,0.25,1,1,8,0.125,2,2,8,0.25,1,1,8,0.125,2,4,0.5,1,3,0.3333333333333333,1.0,8,0.125,2.0,8,0.25,1.0,3.0,0.3333333333333333,0.375
OutcomeRouter-hidden-only,40,8,3,4,4,8,0.5,3,3,8,0.375,1,1,8,0.125,2,2,8,0.25,0,0,8,0.0,0,0,8,0.0,1,1,8,0.125,2,2,8,0.25,0,4,0.0,2,3,0.6666666666666666,1.0,8,0.125,2.0,8,0.25,1.0,3.0,0.3333333333333333,0.5
OutcomeRouter-state-action-only,40,8,3,2,2,8,0.25,1,1,8,0.125,5,5,8,0.625,8,8,8,1.0,4,4,8,0.5,2,2,8,0.25,3,3,8,0.375,0,0,8,0.0,4,4,1.0,0,3,0.0,1.0,8,0.125,2.0,8,0.25,1.0,3.0,0.3333333333333333,0.25
GeometryOracle-condition,40,8,3,4,4,8,0.5,1,1,8,0.125,3,3,8,0.375,4,4,8,0.5,0,0,8,0.0,0,0,8,0.0,3,3,8,0.375,0,0,8,0.0,0,4,0.0,0,3,0.0,3.0,8,0.375,0.0,8,0.0,3.0,3.0,1.0,0.5
