method,source,n_decisions,n_sources,task_success_count,task_success_numerator,task_success_denominator,task_success_rate,catastrophe_count,catastrophe_numerator,catastrophe_denominator,catastrophe_rate,safe_noncompletion_count,safe_noncompletion_numerator,safe_noncompletion_denominator,safe_noncompletion_rate,intervention_count,intervention_numerator,intervention_denominator,intervention_rate,unnecessary_intervention_count,unnecessary_intervention_numerator,unnecessary_intervention_denominator,unnecessary_intervention_rate,harmful_intervention_count,harmful_intervention_numerator,harmful_intervention_denominator,harmful_intervention_rate,beneficial_intervention_count,beneficial_intervention_numerator,beneficial_intervention_denominator,beneficial_intervention_rate,missed_beneficial_intervention_count,missed_beneficial_intervention_numerator,missed_beneficial_intervention_denominator,missed_beneficial_intervention_rate,unnecessary_given_base_success_count,unnecessary_given_base_success_denominator,unnecessary_given_base_success_rate,missed_given_beneficial_opportunity_count,missed_given_beneficial_opportunity_denominator,missed_given_beneficial_opportunity_rate,utility_sum,utility_denominator,mean_utility,oracle_regret_sum,oracle_regret_denominator,mean_oracle_regret,value_gain_over_base_sum,oracle_value_available_sum,oracle_value_recovered,success_rate
DirectQ,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,7,7,12,0.5833333333333334,4,4,12,0.3333333333333333,1,1,12,0.08333333333333333,7,7,12,0.5833333333333334,4,4,12,0.3333333333333333,1,1,12,0.08333333333333333,1,1,12,0.08333333333333333,2,2,12,0.16666666666666666,4,7,0.5714285714285714,2,5,0.4,3.0,12,0.25,5.0,12,0.4166666666666667,0.0,5.0,0.0,0.5833333333333334
DirectQ-lambda2,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,7,7,12,0.5833333333333334,3,3,12,0.25,2,2,12,0.16666666666666666,7,7,12,0.5833333333333334,4,4,12,0.3333333333333333,1,1,12,0.08333333333333333,2,2,12,0.16666666666666666,2,2,12,0.16666666666666666,4,7,0.5714285714285714,2,5,0.4,4.0,12,0.3333333333333333,4.0,12,0.3333333333333333,1.0,5.0,0.2,0.5833333333333334
DirectQ-lambda3,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,7,7,12,0.5833333333333334,3,3,12,0.25,2,2,12,0.16666666666666666,7,7,12,0.5833333333333334,4,4,12,0.3333333333333333,1,1,12,0.08333333333333333,2,2,12,0.16666666666666666,2,2,12,0.16666666666666666,4,7,0.5714285714285714,2,5,0.4,4.0,12,0.3333333333333333,4.0,12,0.3333333333333333,1.0,5.0,0.2,0.5833333333333334
DirectQ-lambda5,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,7,7,12,0.5833333333333334,2,2,12,0.16666666666666666,3,3,12,0.25,7,7,12,0.5833333333333334,4,4,12,0.3333333333333333,1,1,12,0.08333333333333333,3,3,12,0.25,2,2,12,0.16666666666666666,4,7,0.5714285714285714,2,5,0.4,5.0,12,0.4166666666666667,3.0,12,0.25,2.0,5.0,0.4,0.5833333333333334
DirectQ-lambda8,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,8,8,12,0.6666666666666666,2,2,12,0.16666666666666666,2,2,12,0.16666666666666666,6,6,12,0.5,3,3,12,0.25,0,0,12,0.0,3,3,12,0.25,2,2,12,0.16666666666666666,3,7,0.42857142857142855,2,5,0.4,6.0,12,0.5,2.0,12,0.16666666666666666,3.0,5.0,0.6,0.6666666666666666
PairwiseAdvantage,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,7,7,12,0.5833333333333334,4,4,12,0.3333333333333333,1,1,12,0.08333333333333333,7,7,12,0.5833333333333334,4,4,12,0.3333333333333333,1,1,12,0.08333333333333333,1,1,12,0.08333333333333333,2,2,12,0.16666666666666666,4,7,0.5714285714285714,2,5,0.4,3.0,12,0.25,5.0,12,0.4166666666666667,0.0,5.0,0.0,0.5833333333333334
OutcomeRouter,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,7,7,12,0.5833333333333334,3,3,12,0.25,2,2,12,0.16666666666666666,10,10,12,0.8333333333333334,5,5,12,0.4166666666666667,1,1,12,0.08333333333333333,2,2,12,0.16666666666666666,0,0,12,0.0,5,7,0.7142857142857143,0,5,0.0,4.0,12,0.3333333333333333,4.0,12,0.3333333333333333,1.0,5.0,0.2,0.5833333333333334
OutcomeRouter-hidden-only,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,6,6,12,0.5,3,3,12,0.25,3,3,12,0.25,4,4,12,0.3333333333333333,1,1,12,0.08333333333333333,1,1,12,0.08333333333333333,1,1,12,0.08333333333333333,2,2,12,0.16666666666666666,1,7,0.14285714285714285,2,5,0.4,3.0,12,0.25,5.0,12,0.4166666666666667,0.0,5.0,0.0,0.5
OutcomeRouter-state-action-only,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,7,7,12,0.5833333333333334,3,3,12,0.25,2,2,12,0.16666666666666666,12,12,12,1.0,7,7,12,0.5833333333333334,1,1,12,0.08333333333333333,2,2,12,0.16666666666666666,0,0,12,0.0,7,7,1.0,0,5,0.0,4.0,12,0.3333333333333333,4.0,12,0.3333333333333333,1.0,5.0,0.2,0.5833333333333334
GeometryOracle-condition,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,7,7,12,0.5833333333333334,3,3,12,0.25,2,2,12,0.16666666666666666,4,4,12,0.3333333333333333,0,0,12,0.0,0,0,12,0.0,1,1,12,0.08333333333333333,1,1,12,0.08333333333333333,0,7,0.0,1,5,0.2,4.0,12,0.3333333333333333,4.0,12,0.3333333333333333,1.0,5.0,0.2,0.5833333333333334
Base,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,12,1,8,8,12,0.6666666666666666,4,4,12,0.3333333333333333,0,0,12,0.0,0,0,12,0.0,0,0,12,0.0,0,0,12,0.0,0,0,12,0.0,4,4,12,0.3333333333333333,0,8,0.0,4,4,1.0,4.0,12,0.3333333333333333,4.0,12,0.3333333333333333,0.0,4.0,0.0,0.6666666666666666
Always Detour,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,12,1,6,6,12,0.5,2,2,12,0.16666666666666666,4,4,12,0.3333333333333333,12,12,12,1.0,8,8,12,0.6666666666666666,2,2,12,0.16666666666666666,2,2,12,0.16666666666666666,0,0,12,0.0,8,8,1.0,0,4,0.0,4.0,12,0.3333333333333333,4.0,12,0.3333333333333333,0.0,4.0,0.0,0.5
Always Retreat,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,12,1,0,0,12,0.0,0,0,12,0.0,12,12,12,1.0,12,12,12,1.0,8,8,12,0.6666666666666666,8,8,12,0.6666666666666666,4,4,12,0.3333333333333333,0,0,12,0.0,8,8,1.0,0,4,0.0,0.0,12,0.0,8.0,12,0.6666666666666666,-4.0,4.0,-1.0,0.0
Risk->Retreat,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,12,1,8,8,12,0.6666666666666666,1,1,12,0.08333333333333333,3,3,12,0.25,3,3,12,0.25,0,0,12,0.0,0,0,12,0.0,3,3,12,0.25,1,1,12,0.08333333333333333,0,8,0.0,1,4,0.25,7.0,12,0.5833333333333334,1.0,12,0.08333333333333333,3.0,4.0,0.75,0.6666666666666666
Risk->Detour,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,12,1,8,8,12,0.6666666666666666,3,3,12,0.25,1,1,12,0.08333333333333333,3,3,12,0.25,0,0,12,0.0,0,0,12,0.0,1,1,12,0.08333333333333333,1,1,12,0.08333333333333333,0,8,0.0,1,4,0.25,5.0,12,0.4166666666666667,3.0,12,0.25,1.0,4.0,0.25,0.6666666666666666
