split,condition,horizon,strict_label,decision_count,distinct_source_count
train,glass,5,base_tie,0,0
train,glass,5,no_good_option,1,1
train,noglass,40,strict_base,0,0
train,noglass,40,strict_detour,0,0
train,noglass,40,strict_retreat,0,0
train,noglass,40,detour_retreat_tie,0,0
train,noglass,40,base_tie,2,1
train,noglass,40,no_good_option,0,0
train,noglass,30,strict_base,3,3
train,noglass,30,strict_detour,0,0
train,noglass,30,strict_retreat,0,0
train,noglass,30,detour_retreat_tie,0,0
train,noglass,30,base_tie,2,2
train,noglass,30,no_good_option,0,0
train,noglass,20,strict_base,2,2
train,noglass,20,strict_detour,0,0
train,noglass,20,strict_retreat,0,0
train,noglass,20,detour_retreat_tie,0,0
train,noglass,20,base_tie,3,3
train,noglass,20,no_good_option,0,0
train,noglass,10,strict_base,0,0
train,noglass,10,strict_detour,1,1
train,noglass,10,strict_retreat,0,0
train,noglass,10,detour_retreat_tie,0,0
train,noglass,10,base_tie,4,3
train,noglass,10,no_good_option,0,0
train,noglass,5,strict_base,2,2
train,noglass,5,strict_detour,2,2
train,noglass,5,strict_retreat,0,0
train,noglass,5,detour_retreat_tie,0,0
train,noglass,5,base_tie,1,1
train,noglass,5,no_good_option,0,0
train,offpath,40,strict_base,0,0
train,offpath,40,strict_detour,0,0
train,offpath,40,strict_retreat,0,0
train,offpath,40,detour_retreat_tie,0,0
train,offpath,40,base_tie,2,1
train,offpath,40,no_good_option,0,0
train,offpath,30,strict_base,0,0
train,offpath,30,strict_detour,1,1
train,offpath,30,strict_retreat,0,0
train,offpath,30,detour_retreat_tie,0,0
train,offpath,30,base_tie,4,3
train,offpath,30,no_good_option,0,0
train,offpath,20,strict_base,2,2
train,offpath,20,strict_detour,0,0
train,offpath,20,strict_retreat,0,0
train,offpath,20,detour_retreat_tie,0,0
train,offpath,20,base_tie,3,2
train,offpath,20,no_good_option,0,0
train,offpath,10,strict_base,1,1
train,offpath,10,strict_detour,0,0
train,offpath,10,strict_retreat,0,0
train,offpath,10,detour_retreat_tie,0,0
train,offpath,10,base_tie,4,3
train,offpath,10,no_good_option,0,0
train,offpath,5,strict_base,2,2
train,offpath,5,strict_detour,1,1
train,offpath,5,strict_retreat,0,0
train,offpath,5,detour_retreat_tie,0,0
train,offpath,5,base_tie,2,2
train,offpath,5,no_good_option,0,0
