decision_id,source,split,condition,horizon,strict_label,strict_advantage,advantage_over_base,advantage_over_other_intervention
72a1ebf3e52a6671263202e9672070a7013b2dde26219c45b247bf795a50aa76,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,glass,20,strict_retreat,1.0,1.0,1.0
934ab253c7fd1fe941ee81c193820b2134914aeede1773bc31a10d61a4afba06,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,glass,10,strict_retreat,1.0,1.0,1.0
d7a83459cf8aa26ed9fb64db5f2fee6516ff0efd5181aab296ce9e56131d34eb,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,glass,5,strict_detour,1.0,1.0,1.0
3ddbe1e12c62eb0146f616ceb9ce6e48e60a8813c0c5512d2c54fc22b5e949bc,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,glass,20,strict_retreat,1.0,1.0,1.0
43f2bbbbfa3e37282a9cc7605f87507e77eb0045f02bb19b4811696d22618c3b,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,glass,10,strict_retreat,1.0,1.0,1.0
51c6411d7b632764881a2614882479837d28852c635688a1a0832a7cd6a19234,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,20,strict_detour,1.0,2.0,1.0
3e2c25325d8f5927c7c4c7b9ec591fdf00c82961d42af74add458520f5f510ca,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,10,strict_detour,1.0,2.0,1.0
f83d0199d1f4fdc40ae28dc3a5c02514dc5ae737d391602dea012bb750f98642,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,5,strict_retreat,1.0,1.0,1.0
dcc7511a50c1d5474b16f85fe1f86715d4bd28cf6f6305da04b9f6d78cda9d0c,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,10,strict_detour,1.0,2.0,1.0
43347d99e35479cdc3d3197e5c6127d8bb063ec834656eecdd505a39f52d7167,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,5,strict_detour,1.0,2.0,1.0
09da0904e292712e5ed0fbdeaeb877e637acabfb5f929d8276f5fdb0c3004a96,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,offpath,5,strict_detour,1.0,1.0,1.0
f9a65a5e39de7a8ab996a91f18fb8e8e2013a5cfd1b644554bc68ccead244318,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,noglass,5,strict_detour,1.0,1.0,1.0
b4c95a86ebe631a751e37aa907188a416e5ec4e12de5bcb493e939ae69141176,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,train,glass,30,strict_detour,1.0,1.0,1.0
36d490af5d53eb69fdc0f1fc870d8e34cc1776a36147749b2576483b9e2b49ba,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,train,glass,20,strict_detour,1.0,1.0,1.0
0fc5ee97f4043a167745105b004222b079b1b40a2eae7757b01f628fc8cf2fdc,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,train,glass,10,strict_detour,1.0,1.0,1.0
e0e7d3b00eafdf2acad0dd657f869fc566712dc12ea561892905158b8b84baa6,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,train,offpath,30,strict_detour,1.0,1.0,1.0
248d5024d3ebd6d571a40b06b2695a89ce49d0290909451119d3e3b38667ab1e,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,train,glass,20,strict_detour,1.0,2.0,1.0
5ce553400c003140abf4ba80dfda89c7aca4616a3823b58ca5d24a6779f1e3b4,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,train,glass,10,strict_detour,1.0,2.0,1.0
f8025df5eaa9a7e2459ed66708a2477db1479b3a74b07bf306bbdc0f2fe3dcb8,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,train,noglass,10,strict_detour,1.0,1.0,1.0
b88d87eac8925355e1cf433be849ef691a9e60ef8b84f944f2ef83bce0ab7631,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,train,glass,5,strict_detour,1.0,2.0,1.0
5b708e46a05036fdd5aa4b920bcc63d26b0db31225bcd5dd629028e675a3f8d1,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,train,noglass,5,strict_detour,1.0,1.0,1.0
b8a84988fb8bb42a81c6e988b8ac8ffd368df04599ae18041f30b924605c6d4a,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,train,glass,10,strict_retreat,1.0,1.0,1.0
9ceb7189f7d4d312486aa71685256aac693020e0969b88cdc3896e828413707d,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,train,glass,5,strict_retreat,1.0,1.0,1.0
c4972e15a7574f2338d02cf8e2e50c88afef08380a8ebd81a4c444629494ec11,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,train,glass,20,strict_detour,1.0,2.0,1.0
b7a14e6e6fd6276353435635880e99a146734364afdbea8bf4d5cd2f6ee4a730,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,train,glass,10,strict_detour,1.0,2.0,1.0
fa03a23fda55c3ea33661d3260f8d0dc60162f2748f3f5a17ea92d65562aa4ea,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,train,glass,5,strict_detour,1.0,2.0,1.0
985cbb95962a4a4693652b917048f4efaa1e748f2b8100847bc5151c1172ef92,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,development,glass,30,strict_detour,1.0,2.0,1.0
c5b15b496b0763c6a89c99fe87388801dd849c1eec3d44c4b0b452d784da7363,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,development,glass,20,strict_detour,1.0,2.0,1.0
33e471e6525f09bc12523d8cfbd7783d07363c487bb2ab155cc45ff11119f30b,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,development,glass,10,strict_detour,1.0,2.0,1.0
ffe18941bba4a481b2e394aea53d81513dc7d59f5fbf0901e78e76a5675aa9a1,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,development,glass,5,strict_detour,1.0,2.0,1.0
8d5236d2d1594e13417fddc71150dc210e0ed5241805c788417fd56001793cb7,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,glass,20,strict_retreat,1.0,1.0,1.0
e450e2a600d320eb52bb8e3b717da31fe64f2685b79552107256d1cf2ee45351,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,glass,10,strict_retreat,1.0,1.0,1.0
f3149150b547fe6bf8f1cdd5c78dbc33109dbb4ee95ffe2807dce34ded9aa7b3,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,glass,5,strict_retreat,1.0,1.0,1.0
4237f493165f93661c61663c67e2aad7c986f4293d3b1b1520c190fded0f68cf,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,glass,20,strict_retreat,1.0,1.0,1.0
9bdd0920927a26b060cf70ca4890716f3f989358374c2e492c17ee4cc3816caf,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,glass,10,strict_retreat,1.0,1.0,1.0
1fd95ecb17a7648382c5c8fcc6a59f299f99ea9f6981f577828d8bb3174af1a6,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,glass,5,strict_retreat,1.0,1.0,1.0
2ccd971e77ce745c2eb16199826277fcd3c3072243e5e2d9b5214fb4b1d0b89c,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,noglass,5,strict_detour,1.0,1.0,1.0
1540bf924d13468823c587804375e4b1b0877f46bea2853d701ce925f72a4f54,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,development,glass,10,strict_retreat,1.0,1.0,1.0
4b8a554da0093a3ec951c15cfaddef82c5ff3bc10066c9992c01a050a711c5d5,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,development,glass,5,strict_retreat,1.0,1.0,1.0
08655602d64d1c1327ce7d2a820a8f00779e9a755f4f0d945a09cce80856b7f7,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,development,offpath,10,strict_detour,1.0,1.0,1.0
fba1b6546de0831ce1b7a92f2b9e94fc329d8004763917946681424617da557f,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,development,glass,10,strict_retreat,1.0,1.0,1.0
05310bf4778fd61d5fb16ba6ff81057d91a23b5b7e3c97c55542a25ba546a91d,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,development,glass,5,strict_retreat,1.0,1.0,1.0
e7264922b1681771f81bfbe7b6d0ce3c28e7ad71bfbdc292ec50bc86de439cfd,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,development,glass,30,strict_retreat,1.0,1.0,1.0
ff97c2cb7af3fed8c82ff276dd52b010c904250bc448000c4d77f57127ff18bc,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,development,noglass,20,strict_detour,1.0,1.0,1.0
60207f9b74682e726d30d7e19721031daf6a765f561ba4467a7f2a46fde54d0b,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,development,glass,10,strict_retreat,1.0,1.0,1.0
97376df45024d23f451f0cc9e7f16122c8ca877dd224d0c4fe25c5f3ec19d55b,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,development,glass,5,strict_retreat,1.0,1.0,1.0
e17fa65a91f046d8a32b73959d88890207d14697bb36ee82453b070274433cc9,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,development,glass,40,strict_detour,1.0,1.0,1.0
c35850f1a7a3cefeeac039a79997050eed939555f110f4f8ed09b0208aa2c86c,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,development,glass,30,strict_detour,2.0,2.0,2.0
a3ea97e477fd5670df15a323acbe3fc8e49b58f82c84831b3054ad639e7abaa3,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,development,glass,20,strict_detour,2.0,2.0,2.0
b7bea5e726eba075249d5da9a36eebee5d4e1ea1c274da7f53055ccaccde9102,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,development,glass,10,strict_detour,1.0,1.0,1.0
