source,historical_split,condition,decisions,placements,repeats_per_option,base_success,detour_success,delta_success,base_accident,detour_accident,delta_accident,success_loss,new_accident
655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,development,glass,4,1,1,0.0,0.0,0.0,1.0,0.5,-0.5,0.0,0.0
655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,development,offpath,4,1,1,0.75,0.25,-0.5,0.0,0.0,0.0,0.5,0.0
655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,development,noglass,4,1,1,1.0,0.5,-0.5,0.0,0.0,0.0,0.5,0.0
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,10,2,1,0.0,0.4,0.4,1.0,0.1,-0.9,0.0,0.0
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,offpath,10,2,1,0.8,0.8,0.0,0.0,0.0,0.0,0.1,0.0
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,noglass,10,2,1,0.9,0.8,-0.1,0.0,0.0,0.0,0.2,0.0
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,glass,4,1,1,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.25
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,offpath,4,1,1,1.0,0.5,-0.5,0.0,0.0,0.0,0.5,0.0
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,noglass,4,1,1,1.0,0.25,-0.75,0.0,0.0,0.0,0.75,0.0
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,5,1,1,0.0,0.0,0.0,1.0,0.6,-0.4,0.0,0.0
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,offpath,5,1,1,0.8,0.6,-0.2,0.0,0.0,0.0,0.4,0.0
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,noglass,5,1,1,1.0,0.4,-0.6,0.0,0.0,0.0,0.6,0.0
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,glass,5,1,1,0.2,0.8,0.6,0.8,0.2,-0.6,0.0,0.0
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,offpath,5,1,1,0.8,0.0,-0.8,0.2,1.0,0.8,0.8,0.8
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,noglass,5,1,1,1.0,0.4,-0.6,0.0,0.0,0.0,0.6,0.0
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,glass,4,1,1,0.0,0.75,0.75,1.0,0.25,-0.75,0.0,0.0
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,offpath,4,1,1,0.75,0.25,-0.5,0.0,0.0,0.0,0.5,0.0
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,noglass,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9e0d876cfbdf0a1f3140c28497bbb67cfa132d0e151f35741631db9136474cb2,train,glass,0,0,0,,,,,,,,
9e0d876cfbdf0a1f3140c28497bbb67cfa132d0e151f35741631db9136474cb2,train,offpath,0,0,0,,,,,,,,
9e0d876cfbdf0a1f3140c28497bbb67cfa132d0e151f35741631db9136474cb2,train,noglass,0,0,0,,,,,,,,
a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,train,glass,4,1,1,0.0,0.75,0.75,0.75,0.25,-0.5,0.0,0.25
a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,train,offpath,4,1,1,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0.0
a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,train,noglass,4,1,1,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0
a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,calibration,glass,4,1,1,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0
a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,calibration,offpath,4,1,1,1.0,0.25,-0.75,0.0,0.0,0.0,0.75,0.0
a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,calibration,noglass,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,glass,10,2,1,0.0,0.0,0.0,0.9,0.6,-0.3,0.0,0.0
b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,offpath,10,2,1,1.0,0.9,-0.1,0.0,0.0,0.0,0.1,0.0
b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,noglass,10,2,1,0.9,0.4,-0.5,0.0,0.0,0.0,0.6,0.0
c42d5373619bdca4a0ca31a64ed81ae3940d3f105b13eb475cd0c54fe053bc6e,development,glass,0,0,0,,,,,,,,
c42d5373619bdca4a0ca31a64ed81ae3940d3f105b13eb475cd0c54fe053bc6e,development,offpath,0,0,0,,,,,,,,
c42d5373619bdca4a0ca31a64ed81ae3940d3f105b13eb475cd0c54fe053bc6e,development,noglass,0,0,0,,,,,,,,
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,glass,5,1,1,0.0,0.0,0.0,1.0,0.4,-0.6,0.0,0.0
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,offpath,5,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,noglass,5,1,1,0.8,0.0,-0.8,0.0,0.0,0.0,0.8,0.0
ccb84c17d13c744cb5cc7fda299fed0c95f18cefc3d126e96dd232c6f5080ef6,calibration,glass,0,0,0,,,,,,,,
ccb84c17d13c744cb5cc7fda299fed0c95f18cefc3d126e96dd232c6f5080ef6,calibration,offpath,0,0,0,,,,,,,,
ccb84c17d13c744cb5cc7fda299fed0c95f18cefc3d126e96dd232c6f5080ef6,calibration,noglass,0,0,0,,,,,,,,
d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,development,glass,5,1,1,0.0,0.4,0.4,1.0,0.2,-0.8,0.0,0.0
d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,development,offpath,0,0,0,,,,,,,,
d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,development,noglass,0,0,0,,,,,,,,
ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,calibration,glass,5,1,1,0.0,0.0,0.0,0.4,0.2,-0.2,0.0,0.0
ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,calibration,offpath,5,1,1,0.6,0.2,-0.4,0.0,0.0,0.0,0.4,0.0
ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,calibration,noglass,5,1,1,0.8,0.6,-0.2,0.0,0.0,0.0,0.2,0.0
f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,train,glass,4,1,1,0.25,0.0,-0.25,0.75,0.5,-0.25,0.25,0.0
f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,train,offpath,4,1,1,1.0,0.25,-0.75,0.0,0.0,0.0,0.75,0.0
f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,train,noglass,4,1,1,1.0,0.5,-0.5,0.0,0.0,0.0,0.5,0.0
