source,split,condition,placement,decision_id,anchor_index,collision_relative_horizon,repeats_per_option,base_success,detour_success,base_accident,detour_accident,delta_success,delta_accident,success_loss,new_accident,base_steps,detour_steps
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,offpath,exposed:glass_recovery_heldout_0000,df5c0ddbc5bcb3d706b3acebaa2704623875139b588d155ae5da8f1d27840fc4,31,10,1,1,0,0,0,-1,0,1,0,77,900
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,noglass,exposed:glass_recovery_heldout_0000,8ba90f1e46e6c737c0eb056cf6515a987da62bfa9c19658a6c8d06b74439121a,31,10,1,1,0,0,0,-1,0,1,0,85,900
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,exposed:glass_recovery_heldout_0000,d6337f0cccc18f4bebe07016fa813f0b4ff589acd6d94569b6df8579a7a637f4,36,5,1,0,0,1,0,0,-1,0,0,3,900
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,offpath,exposed:glass_recovery_heldout_0000,9c3b09fa606145df31bd37610d7a925923fc86356141e0ef475d462bc7351269,36,5,1,0,1,0,0,1,0,0,0,220,263
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,noglass,exposed:glass_recovery_heldout_0000,5989fcb9d26c152250f5ce05dd470187319ad3e077cc2eba3b3f83eb8fc1e467,36,5,1,1,0,0,0,-1,0,1,0,35,900
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,glass,exposed:glass_recovery_heldout_0001,f9523dd482148c96b3aa0cc95deadcebd2b0bd112ba2607ecce9cb23db51fd3b,5,40,1,0,1,1,0,1,-1,0,0,35,203
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,offpath,exposed:glass_recovery_heldout_0001,a47de32228f336385991a5c09b8b6d83bbe48f55013491b6c4511713ed092e81,5,40,1,0,0,1,1,0,0,0,0,70,71
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,noglass,exposed:glass_recovery_heldout_0001,45864e01432f01c013652724ba6d152702003d987043b690b5e02fa774c05cbb,5,40,1,1,1,0,0,0,0,0,0,70,203
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,glass,exposed:glass_recovery_heldout_0001,d09a5073901f11a5289cc361ef7e0432793bf00b1522a967e455148841fb74fa,15,30,1,0,1,1,0,1,-1,0,0,24,167
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,offpath,exposed:glass_recovery_heldout_0001,26f8a5931cba20ecf40082118a86110aa581e8ba2a615607bc1c530515b89c1b,15,30,1,1,0,0,1,-1,1,1,1,58,61
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,noglass,exposed:glass_recovery_heldout_0001,7f80261cec138128156ae38d318492c2a5d002eeb9857326657b6fcf4802152b,15,30,1,1,0,0,0,-1,0,1,0,61,900
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,glass,exposed:glass_recovery_heldout_0001,929a8a217ef65843737760bf2c101ed24365a2b9f2af5735e57d9e38e68986d9,25,20,1,1,1,0,0,0,0,0,0,53,171
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,offpath,exposed:glass_recovery_heldout_0001,72c1080394fa886a793eaf37ee43d44623ba909af59f1698bdb9e65b44b1fff9,25,20,1,1,0,0,1,-1,1,1,1,46,51
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,noglass,exposed:glass_recovery_heldout_0001,21758c5bf6d4d7b60e9f2d488b374f80f389b11d8af18c6791d60babc6341fed,25,20,1,1,1,0,0,0,0,0,0,45,182
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,glass,exposed:glass_recovery_heldout_0001,9e6b70fac52d4814916c8dd5f9fcc38fb8058dc69a7158003be5226c4eb23348,35,10,1,0,1,1,0,1,-1,0,0,4,215
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,offpath,exposed:glass_recovery_heldout_0001,5abcd534497aee3ba83fe2dd93c08d83b89ebc684974b33956ee78f45f28fa5d,35,10,1,1,0,0,1,-1,1,1,1,35,39
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,noglass,exposed:glass_recovery_heldout_0001,df5e9b00c0084279aa573b37fc06928393ed236bb0e1b78704de2a706d477797,35,10,1,1,0,0,0,-1,0,1,0,37,900
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,glass,exposed:glass_recovery_heldout_0001,4abc167708f703428980c20b052dc89fa622b27ce90591f342bd190d19f07b0e,40,5,1,0,0,1,1,0,0,0,0,5,5
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,offpath,exposed:glass_recovery_heldout_0001,ac1ce680fba839e5725a13941bbbff67635d55fe62da5eed4a36651ddb00cf1c,40,5,1,1,0,0,1,-1,1,1,1,34,49
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,noglass,exposed:glass_recovery_heldout_0001,b4f9630ce72e156e62fafd5afff8da6698b350c0c9d9c49c2036d555522fbf64,40,5,1,1,0,0,0,-1,0,1,0,39,900
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,glass,exposed:glass_recovery_heldout_0002,9536ab471ebe42e900a5e35ceaccb418ed35df99a9b456b46687dc6d5e566678,2,30,1,0,1,1,0,1,-1,0,0,44,206
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,offpath,exposed:glass_recovery_heldout_0002,b33b5638a190a400704a4d1c954355c1522377e71560588a2139e1be7250dd88,2,30,1,1,1,0,0,0,0,0,0,65,454
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,noglass,exposed:glass_recovery_heldout_0002,d46499534dc0be148b6b545899dbfc4f93ed827155c722409bd4e4dfc56cadb1,2,30,1,1,1,0,0,0,0,0,0,74,205
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,glass,exposed:glass_recovery_heldout_0002,186a916dbe71449fe65154f08c6e55355feff1d4a5d3ce5a4394889efcdc8edd,12,20,1,0,1,1,0,1,-1,0,0,34,188
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,offpath,exposed:glass_recovery_heldout_0002,85674815336c9d8e58b0bf38bf2b2d29810f0edb2ea09b3cf876cab5f2b59473,12,20,1,1,0,0,0,-1,0,1,0,57,900
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,noglass,exposed:glass_recovery_heldout_0002,919393b4fcd1357a87ed0d692f9a599a963c713d9442be307fb11b9a3254b1e4,12,20,1,1,1,0,0,0,0,0,0,59,191
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,glass,exposed:glass_recovery_heldout_0002,7ca83a44e99d367d2e95daed5356b7f69806fa6d35b7dfdc4c906de79fb6c46b,22,10,1,0,1,1,0,1,-1,0,0,4,182
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,offpath,exposed:glass_recovery_heldout_0002,2d8b7ebb946d6ae1c419be6f1d017402f4caebe3a41bdf1b45c4e307f9a0dfc8,22,10,1,0,0,0,0,0,0,0,0,220,900
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,noglass,exposed:glass_recovery_heldout_0002,6b3d8f149775215a8dd6859260f47987723510b3fd3769527caf9e4de3de4482,22,10,1,1,1,0,0,0,0,0,0,46,186
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,glass,exposed:glass_recovery_heldout_0002,8147506dceb773529f7f5cffa4cff343369b10ca9e09dd140f9f6b92508b75e5,27,5,1,0,0,1,1,0,0,0,0,5,5
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,offpath,exposed:glass_recovery_heldout_0002,d0ed696615208ad1458c6e42fc544ce5da8855ea2978845ca4634bec010997da,27,5,1,1,0,0,0,-1,0,1,0,43,900
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,noglass,exposed:glass_recovery_heldout_0002,06405c2a2739663946992d69964977e50eb1d9ea3d19c2bca8d155f48c58bc19,27,5,1,1,1,0,0,0,0,0,0,48,192
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,glass,exposed:glass_recovery_heldout_0003,3f5a6bd73b2fbd27d4aa80b8d9c2e490713a3714416b856ecde76431d0a6e618,0,40,1,0,0,1,0,0,-1,0,0,52,900
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,offpath,exposed:glass_recovery_heldout_0003,f5b9a59ffe5ce63c17ac62f38c51af1d17070bd0e0285a1b081f6784e14234ec,0,40,1,1,1,0,0,0,0,0,0,83,176
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,noglass,exposed:glass_recovery_heldout_0003,e2b4cb16b6c82299394c7883a9577d110873e806274d9dd3fc3711f6555effa1,0,40,1,1,0,0,0,-1,0,1,0,89,900
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,glass,exposed:glass_recovery_heldout_0003,d70a5c79a08b635f803955fd4ec08bc82c7a197a619e3a08cefaf0415ceaffc3,10,30,1,0,0,1,0,0,-1,0,0,31,900
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,offpath,exposed:glass_recovery_heldout_0003,92c6389616c0405b089294ac52fd8c4aa00534d7037572fcee2f6e4cc6eeae6d,10,30,1,1,1,0,0,0,0,0,0,70,173
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,noglass,exposed:glass_recovery_heldout_0003,0ac81ecec4bd585cca014c2d6b24d219def6cc838747a7acfd0fb99dfe2d6893,10,30,1,1,0,0,0,-1,0,1,0,79,900
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,glass,exposed:glass_recovery_heldout_0003,72a1ebf3e52a6671263202e9672070a7013b2dde26219c45b247bf795a50aa76,20,20,1,0,0,1,1,0,0,0,0,23,93
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,offpath,exposed:glass_recovery_heldout_0003,a0277575a74cb99f2dcd08f4f6e017565faaeb5c88c9f1ee7b8c71e53688c683,20,20,1,1,1,0,0,0,0,0,0,70,168
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,noglass,exposed:glass_recovery_heldout_0003,ce42361700188f5903885bc1affe1814e6390e128ef45d7452f5f6691aecd3d9,20,20,1,1,0,0,0,-1,0,1,0,66,900
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,glass,exposed:glass_recovery_heldout_0003,934ab253c7fd1fe941ee81c193820b2134914aeede1773bc31a10d61a4afba06,30,10,1,0,0,1,1,0,0,0,0,9,85
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,offpath,exposed:glass_recovery_heldout_0003,adda857223fd2ba6236102475be45ef4252b7b79cd034b0a750e9c64c5081c34,30,10,1,1,1,0,0,0,0,0,0,56,177
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,noglass,exposed:glass_recovery_heldout_0003,964df9d7735c6129ef388d9b0070f0746e325136e24ecb40836e4645cab0ca10,30,10,1,1,0,0,0,-1,0,1,0,61,900
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,glass,exposed:glass_recovery_heldout_0003,d7a83459cf8aa26ed9fb64db5f2fee6516ff0efd5181aab296ce9e56131d34eb,35,5,1,0,0,1,0,0,-1,0,0,4,900
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,offpath,exposed:glass_recovery_heldout_0003,ddbb93a95278a884eb6255bdeeb344c62f93593a77e43a5a0a6a1e14c6826ecb,35,5,1,1,1,0,0,0,0,0,0,54,189
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,noglass,exposed:glass_recovery_heldout_0003,8fb4d33f36ffe1615d2ba07bc1646fabf7b119cf8dff76e47ab3779a2829749e,35,5,1,0,0,0,0,0,0,0,0,220,900
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,glass,exposed:glass_recovery_heldout_0004,3b52e4d62f7cb42af442219b648b1fbb843b556c0a07828ecfe6524443134193,1,30,1,0,0,1,0,0,-1,0,0,48,900
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,offpath,exposed:glass_recovery_heldout_0004,2218b2589b3c49686f6a6ea041e54f40f73fd53579a968060082c58466ea26d5,1,30,1,1,1,0,0,0,0,0,0,80,332
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,noglass,exposed:glass_recovery_heldout_0004,fb5a57fe0687c64ece17903ce01ae92733ed65b358795e06fa6c13a522d7010b,1,30,1,1,0,0,0,-1,0,1,0,73,900
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,glass,exposed:glass_recovery_heldout_0004,3ddbe1e12c62eb0146f616ceb9ce6e48e60a8813c0c5512d2c54fc22b5e949bc,11,20,1,0,0,1,1,0,0,0,0,25,103
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,offpath,exposed:glass_recovery_heldout_0004,63f5c8df3f40d39e40121624ab299ec26490b6465931e67415e5b39abffd29e7,11,20,1,1,1,0,0,0,0,0,0,69,350
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,noglass,exposed:glass_recovery_heldout_0004,ab1f14bd986007a3b2ecf47d815442c3aa1ef650b82f1240cab21b4d65b7b4ac,11,20,1,1,0,0,0,-1,0,1,0,61,900
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,glass,exposed:glass_recovery_heldout_0004,43f2bbbbfa3e37282a9cc7605f87507e77eb0045f02bb19b4811696d22618c3b,21,10,1,0,0,1,1,0,0,0,0,10,83
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,offpath,exposed:glass_recovery_heldout_0004,36cd365440fc812ef0e72e970a96b609054d53bb41013055bd8cfe944ae6202c,21,10,1,1,0,0,0,-1,0,1,0,67,900
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,noglass,exposed:glass_recovery_heldout_0004,e676faab7ac5fc775f47f40d7b533315831c9db0d4edc1b25ec0019189dffe25,21,10,1,1,1,0,0,0,0,0,0,49,177
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,glass,exposed:glass_recovery_heldout_0004,a649bbb65ec1b7ffee000fb9dc16e27ba60acebb93831cb4d78f77fd0e575e9e,26,5,1,0,0,0,1,0,1,0,1,220,88
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,offpath,exposed:glass_recovery_heldout_0004,b21f0f5bb919b132f99c8fe499127acae8d7fb31bc2603305aa137109ed4ac59,26,5,1,1,0,0,0,-1,0,1,0,56,900
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,noglass,exposed:glass_recovery_heldout_0004,b6c20cff6489ed9caf015bf6c181d7b77f4615c3e44b83a134b95fbb68355344,26,5,1,1,0,0,0,-1,0,1,0,46,900
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,exposed:glass_recovery_train_0000,82182bde0cdb3ab90d335aa3dedadcd94882aac4d2ccd658e64085e2e2c318ca,8,40,1,0,0,1,0,0,-1,0,0,37,900
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,offpath,exposed:glass_recovery_train_0000,171e3b9ff29671f49fb01da35f57ac039a44ad527f5a38c52fa09bf91919fd5f,8,40,1,1,1,0,0,0,0,0,0,80,197
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,noglass,exposed:glass_recovery_train_0000,e57cf4f5a120b8251b4725894eab5f28c320245fa3d277e65d1aa3e43826522e,8,40,1,1,1,0,0,0,0,0,0,74,344
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,exposed:glass_recovery_train_0000,eace55b046569a0c99d63cbb3c8e1828a57a11c4923477307d21bbdb9791fbfb,18,30,1,0,0,1,0,0,-1,0,0,22,900
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,offpath,exposed:glass_recovery_train_0000,029b72a3ea7b0072025eba7e153d77bed56e532fce1a1fb8ba870254eadb2fb1,18,30,1,1,1,0,0,0,0,0,0,66,171
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,noglass,exposed:glass_recovery_train_0000,02b1e090c4bb02a5257308555fd5a5ce16e640989de9b8d1f4f84983e3baf594,18,30,1,1,0,0,0,-1,0,1,0,60,900
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,exposed:glass_recovery_train_0000,51c6411d7b632764881a2614882479837d28852c635688a1a0832a7cd6a19234,28,20,1,0,1,1,0,1,-1,0,0,13,321
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,offpath,exposed:glass_recovery_train_0000,af70e94307152ae0d4524d91633cfe1633c7c3f075a8f8540af9d9c672336aad,28,20,1,1,1,0,0,0,0,0,0,58,176
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,noglass,exposed:glass_recovery_train_0000,9bf197b7cf356ae6ea8459162b3edf83e0d58ded5eb715a5c97fb01ad0b155d7,28,20,1,1,1,0,0,0,0,0,0,52,195
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,exposed:glass_recovery_train_0000,3e2c25325d8f5927c7c4c7b9ec591fdf00c82961d42af74add458520f5f510ca,38,10,1,0,1,1,0,1,-1,0,0,3,322
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,offpath,exposed:glass_recovery_train_0000,a55b43c5f14ef11dbbea606494181831abe093e54f8030214d63ecdb17a40cfa,38,10,1,0,0,0,0,0,0,0,0,220,900
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,noglass,exposed:glass_recovery_train_0000,3c473c4d608ee768fe6944e79536c7d344deae2298dcc7fd695b122a87a35fd2,38,10,1,1,1,0,0,0,0,0,0,37,207
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,exposed:glass_recovery_train_0000,f83d0199d1f4fdc40ae28dc3a5c02514dc5ae737d391602dea012bb750f98642,43,5,1,0,0,1,1,0,0,0,0,1,1
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,offpath,exposed:glass_recovery_train_0000,db05c17974a1032f5835681f51f63fcb978004eecfe48098e0892f5bd6ada082,43,5,1,1,0,0,0,-1,0,1,0,38,900
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,noglass,exposed:glass_recovery_train_0000,6625cba0c3ed3b52b3d3abaac4a296e44c52d95ae94db04f2aae76eaf1c2759a,43,5,1,1,1,0,0,0,0,0,0,37,208
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,exposed:glass_recovery_train_0001,f0ddabe50bb424d9b9b354b3c85a691b99795bb3c0960b4d2e0bc9643c24e47b,0,40,1,0,0,1,0,0,-1,0,0,36,900
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,offpath,exposed:glass_recovery_train_0001,ee193fc4201a642a01ca79ac32f138cb54fd5f63d9b411e52ce334a236aa7538,0,40,1,1,1,0,0,0,0,0,0,85,191
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,noglass,exposed:glass_recovery_train_0001,80767391ac8d08cd2339dfadc65c115edbba499db3d02b52d021560cff19cc90,0,40,1,1,1,0,0,0,0,0,0,76,208
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,exposed:glass_recovery_train_0001,3f9d03e48189508d798e52fae8c37c8bac6441dcc4399f6fe8943bbfb6534c5a,10,30,1,0,0,1,0,0,-1,0,0,31,900
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,offpath,exposed:glass_recovery_train_0001,b8fc05595fb05a38bf37074f7a27451d439ab11959e6946661065981f830a122,10,30,1,1,1,0,0,0,0,0,0,72,190
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,noglass,exposed:glass_recovery_train_0001,2b8433a0319b9a206e6014c358a5776285617747afbceb5feb3a8b4882b2a387,10,30,1,1,1,0,0,0,0,0,0,65,247
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,exposed:glass_recovery_train_0001,06fb0534950faa52db1b28a284170c6bf0016619c75d0da974035d1710747b2f,20,20,1,0,0,1,0,0,-1,0,0,24,900
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,offpath,exposed:glass_recovery_train_0001,891a059d83935840f53040672b611ac8f568c80cc89fe77bb03f4d4ca3df1b67,20,20,1,1,1,0,0,0,0,0,0,59,195
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,noglass,exposed:glass_recovery_train_0001,428ca3c4e8bf04e29ba264f54d3484403c27ddf452f92c20a45b0340dba4cad9,20,20,1,1,0,0,0,-1,0,1,0,63,900
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,exposed:glass_recovery_train_0001,dcc7511a50c1d5474b16f85fe1f86715d4bd28cf6f6305da04b9f6d78cda9d0c,30,10,1,0,1,1,0,1,-1,0,0,10,314
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,offpath,exposed:glass_recovery_train_0001,f167dc3a20b36af81bbc12d11b80a720cea33d342e45b867883dbddb1e907e9f,30,10,1,1,1,0,0,0,0,0,0,54,199
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,noglass,exposed:glass_recovery_train_0001,53f62e0d76df340ccfd0a6c10a7cf1306ffec70758fd03d76eda29a685613173,30,10,1,1,1,0,0,0,0,0,0,52,192
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,exposed:glass_recovery_train_0001,43347d99e35479cdc3d3197e5c6127d8bb063ec834656eecdd505a39f52d7167,35,5,1,0,1,1,0,1,-1,0,0,6,320
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,offpath,exposed:glass_recovery_train_0001,09da0904e292712e5ed0fbdeaeb877e637acabfb5f929d8276f5fdb0c3004a96,35,5,1,0,1,0,0,1,0,0,0,220,199
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,noglass,exposed:glass_recovery_train_0001,f9a65a5e39de7a8ab996a91f18fb8e8e2013a5cfd1b644554bc68ccead244318,35,5,1,0,1,0,0,1,0,0,0,220,198
28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,train,glass,exposed:glass_recovery_train_0005,166d3b0c212d2892b49b61fae8473542064f49754999e53dc4de3dc70e1e712a,135,40,1,0,0,0,0,0,0,0,0,220,855
28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,train,glass,exposed:glass_recovery_train_0005,b4c95a86ebe631a751e37aa907188a416e5ec4e12de5bcb493e939ae69141176,145,30,1,0,0,1,0,0,-1,0,0,19,845
